Transcript	meanFST	WeightFST	Transcript2	Scaffold	Start	End	Length	Sex.Linkage	LG	cm_male	cf_female
comp226216_c0_seq1_m.14975	 -0.012458	 -0.027094	comp226216_c0_seq1_m.14975	scaffold_3556	38042	38407	365	Au	5	53.78	43.04
comp16960_c0_seq1_m.9271	 -0.013671	 -0.014354	comp16960_c0_seq1_m.9271	scaffold6067_1_size14249	11510	12732	1222	Au	7	51.86	80.16
comp12061_c0_seq1_m.5897	 -0.018055	 -0.019534	comp12061_c0_seq1_m.5897	scaffold21094_1_size4212	2892	4019	1127	SL	1	53.85	63.11
comp18378_c0_seq2_m.15284	 -0.0032814	 -0.0143	comp18378_c0_seq2_m.15284	scaffold2378_1_size26293	1144	3803	2659	Au	5	55.63	52.3
comp21674_c0_seq1_m.10743	 -0.0092467	 -0.0082481	comp21674_c0_seq1_m.10743	scaffold435_1_size57054	38604	40052	1448	Au	2	71.28	90.97
comp13291_c0_seq1_m.6799	 -0.030724	 -0.030731	comp13291_c0_seq1_m.6799	scaffold11623_1_size7988	3878	7649	3771	Au	7	37.04	72.75
comp14669_c0_seq1_m.7750	 -nan	 -nan	comp14669_c0_seq1_m.7750	scaffold2523_1_size25449	7551	10074	2523	Au	2	69.43	87.27
comp11785_c0_seq1_m.5696	 -nan	 -nan	comp11785_c0_seq1_m.5696	scaffold_3461	10975	12839	1864	Au	7	33.34	52.38
comp7439_c0_seq1_m.31135	 -0.0010069	 -0.0027786	comp7439_c0_seq1_m.31135	scaffold4834_1_size16821	14315	16183	1868	Au	5	13.04	15.26
comp15315_c0_seq2_m.26517	 -nan	 -nan	comp15315_c0_seq2_m.26517	scaffold490_1_size54605	2338	3221	883	Au	2	49.06	52.08
comp8724_c0_seq1_m.3653	 -0.00079745	 -0.016949	comp8724_c0_seq1_m.3653	scaffold577_1_size51607	35274	37707	2433	Au	3	98.52	102.31
comp11089_c0_seq1_m.20129	 0.0036487	 0.0053875	comp11089_c0_seq1_m.20129	scaffold_1716	81090	81392	302	Au	3	53.78	78.24
comp7536_c0_seq1_m.2997	 -0.023302	 -0.023751	comp7536_c0_seq1_m.2997	scaffold31148_1_size2403	1010	2027	1017	Au	3	48.22	67.13
comp16581_c0_seq1_m.9045	 -0.0084443	 -0.0073029	comp16581_c0_seq1_m.9045	scaffold2985_1_size23059	1458	5613	4155	Au	5	13.04	15.26
comp26317_c0_seq1_m.10977	 -0.01093	 -0.019737	comp26317_c0_seq1_m.10977	scaffold_3035	12432	17922	5490	Au	8	39.96	37.33
comp38630_c0_seq1_m.11294	 -nan	 -nan	comp38630_c0_seq1_m.11294	scaffold_3496	41430	45767	4337	Au	6	37.33	46.37
comp18482_c0_seq2_m.29535	 -0.017896	 -0.024536	comp18482_c0_seq2_m.29535	scaffold_4128	23169	26033	2864	Au	3	42.67	61.57
comp12544_c0_seq2_m.29685	 -0.0045094	 -0.013802	comp12544_c0_seq2_m.29685	scaffold_424	62120	64705	2585	Au	8	64.03	68.81
comp125658_c0_seq1_m.13539	 -0.0090177	 -0.019826	comp125658_c0_seq1_m.13539	scaffold2590_1_size25040	5557	6171	614	PAR	1	70.52	72.37
comp80285_c0_seq1_m.12293	 -0.0071475	 -0.0071475	comp80285_c0_seq1_m.12293	scaffold_3699	3968	4436	468	Au	2	37.94	28
comp22392_c0_seq1_m.10779	 -0.011913	 -0.019744	comp22392_c0_seq1_m.10779	scaffold_2995	27490	34687	7197	Au	5	20.44	18.96
comp8184_c0_seq1_m.3344	 -0.022927	 -0.025726	comp8184_c0_seq1_m.3344	scaffold_1620	1344	2648	1304	Au	8	58.48	59.55
comp10214_c0_seq1_m.19944	 -0.0057878	 -0.0054284	comp10214_c0_seq1_m.19944	scaffold16992_1_size6028	448	5178	4730	Au	7	14.82	30.16
comp6349_c0_seq1_m.2268	 -0.0072598	 -0.011922	comp6349_c0_seq1_m.2268	scaffold_902	6585	8264	1679	Au	4	29.85	33.78
comp6136_c0_seq2_m.16588	 -0.025641	 -0.025641	comp6136_c0_seq2_m.16588	scaffold2034_1_size28820	12730	13114	384	Au	8	41.81	37.33
comp58660_c0_seq1_m.11758	 -0.027961	 -0.027961	comp58660_c0_seq1_m.11758	scaffold1539_1_size33355	8222	9159	937	Au	2	37.94	31.7
comp5678_c0_seq1_m.1951	 -0.002523	 0.015899	comp5678_c0_seq1_m.1951	scaffold5752_1_size14885	7430	9084	1654	Au	4	13.18	18.96
comp27529_c0_seq1_m.11023	 0.0052995	 -0.0035399	comp27529_c0_seq1_m.11023	scaffold51_1_size116823	90196	91373	1177	Au	4	61.34	68.97
comp13509_c0_seq1_m.23336	 -0.018386	 -0.020809	comp13509_c0_seq1_m.23336	scaffold_654	11568	13320	1752	Au	3	87.12	102.31
comp8702_c0_seq1_m.3637	 -0.018345	 -0.022074	comp8702_c0_seq1_m.3637	scaffold35413_1_size2102	605	1891	1286	PAR	1	77.93	77.93
comp18827_c1_seq1_m.21114	 -0.0073475	 -0.013096	comp18827_c1_seq1_m.21114	scaffold862_1_size43779	23638	28254	4616	SL	1	53.85	53.85
comp17060_c0_seq1_m.30866	 -0.0094403	 -0.015156	comp17060_c0_seq1_m.30866	scaffold_265	18	30298	30280	Au	5	27.85	20.81
comp17018_c0_seq1_m.36519	 -0.0027572	 -0.0087719	comp17018_c0_seq1_m.36519	scaffold_2093	1679	4121	2442	Au	2	69.43	83.56
comp8781_c0_seq1_m.3693	 1.1276e-16	 1.1276e-16	comp8781_c0_seq1_m.3693	scaffold_2747	18851	20153	1302	PAR	1	46.44	39.04
comp9370_c0_seq1_m.4094	 -0.023217	 -0.023823	comp9370_c0_seq1_m.4094	scaffold1649_1_size32121	25948	28726	2778	Au	8	21.44	16.95
comp4002_c0_seq1_m.877	 -0.00025579	 -0.0014524	comp4002_c0_seq1_m.877	scaffold_1451	51462	52722	1260	PAR	1	42.74	26
comp4828_c0_seq1_m.1481	 -0.014493	 -0.022228	comp4828_c0_seq1_m.1481	scaffold_3768	91283	96164	4881	Au	4	28	33.78
comp17616_c0_seq2_m.18229	 -0.015469	 -0.019229	comp17616_c0_seq2_m.18229	scaffold4108_1_size18815	9824	11293	1469	Au	8	21.44	16.95
comp8060_c0_seq1_m.3288	 -0.022963	 -0.02284	comp8060_c0_seq1_m.3288	scaffold1172_1_size37961	3329	17982	14653	Au	3	35.26	33.79
comp94989_c0_seq1_m.12692	 -0.011812	 -0.011138	comp94989_c0_seq1_m.12692	scaffold1107_1_size39006	25613	25963	350	Au	2	49.06	40.96
comp8601_c0_seq1_m.3588	 -0.00098184	 -0.0076616	comp8601_c0_seq1_m.3588	scaffold6198_1_size13975	9680	10012	332	Au	6	15.11	11.18
comp4400_c0_seq1_m.1133	 -0.0037708	 -0.013408	comp4400_c0_seq1_m.1133	scaffold588_1_size51302	15323	15928	605	PAR	1	37.18	24.15
comp16661_c1_seq1_m.30479	 -0.020791	 -0.025829	comp16661_c1_seq1_m.30479	scaffold_1282	3923	23511	19588	Au	4	18.74	28.22
comp15006_c0_seq1_m.38299	 0.0015884	 0.0010057	comp15006_c0_seq1_m.38299	scaffold1123_1_size38815	31213	35270	4057	Au	2	62.02	70.6
comp15646_c0_seq1_m.8446	 -0.0031584	 0.0040861	comp15646_c0_seq1_m.8446	scaffold5639_1_size15135	9516	14537	5021	Au	5	46.37	30.07
comp9490_c0_seq1_m.4170	 -0.024931	 -0.024931	comp9490_c0_seq1_m.4170	scaffold_532	238	2964	2726	Au	6	13.26	7.48
comp95121_c0_seq1_m.12702	 -0.02529	 -0.02529	comp95121_c0_seq1_m.12702	scaffold1381_1_size35162	9852	10535	683	Au	8	21.44	16.95
comp12521_c0_seq1_m.6222	 -nan	 -nan	comp12521_c0_seq1_m.6222	scaffold2730_1_size24282	12749	14629	1880	SL	1	53.85	48.3
comp9541_c0_seq1_m.4205	 -0.0095506	 -0.012048	comp9541_c0_seq1_m.4205	scaffold2360_1_size26429	19449	20135	686	Au	5	35.26	20.81
comp16276_c0_seq1_m.8847	 -0.012832	 -0.017776	comp16276_c0_seq1_m.8847	scaffold6237_1_size13918	5770	10231	4461	PAR	1	66.82	72.37
comp7479_c0_seq2_m.23212	 -0.01521	 -0.023194	comp7479_c0_seq2_m.23212	scaffold2267_1_size26980	9340	9732	392	Au	3	50.08	67.13
comp12398_c0_seq1_m.6141	 0.0035109	 -0.0076401	comp12398_c0_seq1_m.6141	scaffold_1144	340	1412	1072	Au	4	50.23	44.89
comp10193_c0_seq1_m.23406	 -0.0038447	 -0.0060003	comp10193_c0_seq1_m.23406	scaffold5180_1_size16065	766	3337	2571	Au	5	44.52	30.07
comp13646_c0_seq1_m.33232	 -0.005203	 -0.013521	comp13646_c0_seq1_m.33232	scaffold_2649	39093	41719	2626	Au	3	42.67	57.86
comp10403_c0_seq1_m.37517	 0.0032533	 0.0039147	comp10403_c0_seq1_m.37517	scaffold_2981	34947	36751	1804	Au	6	26.22	18.59
comp45766_c0_seq1_m.11451	 -0.0017107	 0.0078747	comp45766_c0_seq1_m.11451	scaffold_810	20221	20850	629	Au	6	50.3	57.49
comp13913_c0_seq1_m.34756	 -0.009375	 -0.0028548	comp13913_c0_seq1_m.34756	scaffold1822_1_size30535	27626	29050	1424	PAR	1	70.52	74.23
comp11585_c0_seq1_m.5544	 -0.020792	 -0.023256	comp11585_c0_seq1_m.5544	scaffold_1226	30223	30633	410	Au	6	65.11	61.19
comp14236_c0_seq1_m.34405	 -0.00090744	 -0.0030511	comp14236_c0_seq1_m.34405	scaffold1766_1_size30952	7880	21354	13474	Au	5	37.11	20.81
comp11997_c0_seq1_m.5845	 -0.0033895	 -0.008104	comp11997_c0_seq1_m.5845	scaffold13474_1_size7098	5479	6447	968	Au	3	59.34	78.24
comp206875_c0_seq1_m.14795	 -0.012061	 -0.027802	comp206875_c0_seq1_m.14795	scaffold32278_1_size2313	1817	2161	344	Au	4	61.34	68.97
comp6843_c0_seq1_m.2585	 -0.034024	 -0.034024	comp6843_c0_seq1_m.2585	scaffold1348_1_size35525	17743	18309	566	Au	7	1.85	13.49
comp85231_c0_seq1_m.12467	 -0.0056391	 -0.0056391	comp85231_c0_seq1_m.12467	scaffold1201_1_size37567	34791	35135	344	Au	3	5.63	13.42
comp6409_c0_seq1_m.2305	 -0.013693	 -0.023856	comp6409_c0_seq1_m.2305	scaffold16_1_size161623	8637	22497	13860	PAR	1	48.3	39.04
comp14359_c0_seq1_m.22434	 -0.012667	 -0.012344	comp14359_c0_seq1_m.22434	scaffold_1815	35204	37302	2098	Au	3	14.89	20.82
comp15467_c0_seq1_m.23321	 -nan	 -nan	comp15467_c0_seq1_m.23321	scaffold2019_1_size28898	19936	23597	3661	Au	7	12.96	26.45
comp8405_c0_seq1_m.3473	 0.0061248	 0.0071932	comp8405_c0_seq1_m.3473	scaffold_821	18238	18564	326	Au	4	5.78	13.4
comp10931_c0_seq1_m.31415	 -0.020119	 -0.022051	comp10931_c0_seq1_m.31415	scaffold9062_1_size10500	5569	7531	1962	Au	7	31.49	41.27
comp10667_c0_seq1_m.20076	 -nan	 -nan	comp10667_c0_seq1_m.20076	scaffold1732_1_size31246	17221	17703	482	Au	3	79.71	93.05
comp9977_c0_seq1_m.4483	 -0.033371	 -0.031992	comp9977_c0_seq1_m.4483	scaffold20597_1_size4433	1350	3900	2550	Au	3	37.11	46.75
comp241_c0_seq1_m.60	 -0.020892	 -0.021918	comp241_c0_seq1_m.60	scaffold266_1_size69161	18403	18912	509	Au	2	39.8	33.56
comp17430_c0_seq1_m.9557	 -0.018266	 -0.020402	comp17430_c0_seq1_m.9557	scaffold_1592	60	8110	8050	Au	4	11.33	18.96
comp16212_c1_seq4_m.30107	 -0.024423	 -0.026641	comp16212_c1_seq4_m.30107	scaffold829_1_size44767	21245	22886	1641	Au	3	16.74	22.68
comp11852_c0_seq1_m.5750	 0.0055347	 0.021891	comp11852_c0_seq1_m.5750	scaffold99_1_size94355	17126	20219	3093	SL	1	53.85	53.85
comp17478_c0_seq1_m.20553	 0.0015111	 -0.00049914	comp17478_c0_seq1_m.20553	scaffold43880_1_size1699	308	1699	1391	PAR	1	100.15	83.49
comp14518_c0_seq1_m.7657	 -0.0056824	 -0.00079745	comp14518_c0_seq1_m.7657	scaffold_2279	371	1631	1260	Au	3	35.26	31.94
comp9173_c0_seq1_m.3954	 -0.0041468	 -0.010777	comp9173_c0_seq1_m.3954	scaffold14458_1_size6757	1386	5328	3942	Au	6	68.82	66.75
comp2151_c0_seq1_m.454	 -nan	 -nan	comp2151_c0_seq1_m.454	scaffold271_1_size68624	21869	22201	332	Au	6	48.44	55.63
comp17643_c0_seq1_m.9676	 -0.022433	 -0.022433	comp17643_c0_seq1_m.9676	scaffold3286_1_size21839	16274	20971	4697	Au	7	14.82	32.01
comp23417_c0_seq1_m.10837	 1.1276e-16	 1.1276e-16	comp23417_c0_seq1_m.10837	scaffold1822_1_size30535	22614	25262	2648	PAR	1	70.52	74.23
comp7524_c0_seq1_m.2988	 -0.023465	 -0.023465	comp7524_c0_seq1_m.2988	scaffold1_1_size329358	243044	243900	856	Au	4	28	33.78
comp9878_c0_seq1_m.4401	 0.019253	 0.02746	comp9878_c0_seq1_m.4401	scaffold10148_1_size9260	5533	7507	1974	Au	4	29.85	33.78
comp51819_c0_seq1_m.11601	 -0.013075	 -0.024954	comp51819_c0_seq1_m.11601	scaffold162_1_size80286	18112	20261	2149	Au	4	57.63	52.3
comp15229_c0_seq1_m.8153	 -0.00034089	 -5.5932e-05	comp15229_c0_seq1_m.8153	scaffold_836	6245	8366	2121	Au	7	51.86	80.16
comp11137_c0_seq1_m.36923	 -0.029094	 -0.03301	comp11137_c0_seq1_m.36923	scaffold271_1_size68624	28391	30945	2554	Au	6	48.44	55.63
comp13482_c0_seq1_m.6932	 1.1276e-16	 1.1276e-16	comp13482_c0_seq1_m.6932	scaffold_3871	6907	7594	687	Au	8	21.44	20.66
comp18378_c0_seq1_m.15282	 0.0001587	 -0.0024716	comp18378_c0_seq1_m.15282	scaffold2378_1_size26293	6856	20247	13391	Au	5	55.63	52.3
comp17903_c0_seq3_m.28550	 -0.0076487	 -0.017243	comp17903_c0_seq3_m.28550	scaffold_347	41964	43444	1480	Au	4	16.89	24.52
comp14864_c0_seq1_m.7891	 0.034799	 0.04572	comp14864_c0_seq1_m.7891	scaffold32810_1_size2275	340	2275	1935	PAR	1	98.3	83.49
comp328_c0_seq1_m.82	 -0.006064	 -0.010526	comp328_c0_seq1_m.82	scaffold5893_1_size14568	1375	2025	650	Au	8	21.44	16.95
comp14497_c0_seq1_m.7644	 -0.0018476	 0.0054766	comp14497_c0_seq1_m.7644	scaffold_408	10194	15765	5571	SL	1	53.85	52
comp9094_c0_seq1_m.17211	 -0.018813	 -0.02657	comp9094_c0_seq1_m.17211	scaffold_1543	33027	43485	10458	Au	2	19.42	11.33
comp14436_c0_seq1_m.29430	 -0.006155	 -0.0082542	comp14436_c0_seq1_m.29430	scaffold401_1_size59184	37175	38268	1093	Au	6	68.82	68.6
comp8292_c0_seq1_m.3404	 -0.01495	 -0.020337	comp8292_c0_seq1_m.3404	scaffold10466_1_size8901	1242	2180	938	PAR	1	98.3	83.49
comp17479_c0_seq1_m.9594	 -0.015356	 -0.020366	comp17479_c0_seq1_m.9594	scaffold14741_1_size6674	198	3661	3463	Au	8	41.81	39.18
comp8214_c0_seq1_m.28289	 -0.020797	 -0.022032	comp8214_c0_seq1_m.28289	scaffold_1642	13867	14346	479	Au	4	13.18	18.96
comp14770_c0_seq1_m.7811	 -0.01242	 -0.012146	comp14770_c0_seq1_m.7811	scaffold60927_1_size1248	1	1086	1085	Au	6	35.48	42.67
comp9958_c0_seq1_m.34282	 -0.0041551	 -0.0041551	comp9958_c0_seq1_m.34282	scaffold_424	110235	112661	2426	Au	8	64.03	68.81
comp17742_c0_seq1_m.9737	 -0.012126	 -0.022261	comp17742_c0_seq1_m.9737	scaffold_3917	453	4454	4001	Au	2	69.43	87.27
comp18597_c0_seq1_m.10226	 0.010968	 0.017832	comp18597_c0_seq1_m.10226	scaffold_1211	674	2823	2149	Au	7	42.6	74.6
comp15753_c0_seq1_m.8514	 -0.0011372	 -0.011859	comp15753_c0_seq1_m.8514	scaffold2165_1_size27710	22437	25929	3492	Au	5	31.56	20.81
comp6485_c0_seq1_m.2338	 -0.018096	 -0.019524	comp6485_c0_seq1_m.2338	scaffold_2643	55433	59244	3811	Au	4	61.34	68.97
comp65370_c0_seq1_m.11917	 -0.00822	 -0.013482	comp65370_c0_seq1_m.11917	scaffold950_1_size41993	39731	40852	1121	Au	7	22.22	37.56
comp13749_c0_seq1_m.39272	 -0.021934	 -0.030525	comp13749_c0_seq1_m.39272	scaffold_1297	52114	53953	1839	Au	5	59.34	59.7
comp23204_c0_seq1_m.10828	 -0.007807	 -0.01268	comp23204_c0_seq1_m.10828	scaffold2506_1_size25552	3957	4894	937	Au	6	57.7	57.49
comp11296_c0_seq2_m.30726	 -0.012237	 -0.017418	comp11296_c0_seq2_m.30726	scaffold5807_1_size14779	2365	5934	3569	Au	4	39.11	35.63
comp15115_c0_seq1_m.8062	 -0.0003253	 0.013525	comp15115_c0_seq1_m.8062	scaffold_4162	17324	17863	539	Au	7	27.78	41.27
comp14863_c0_seq1_m.7888	 -0.0030914	 -0.0079792	comp14863_c0_seq1_m.7888	scaffold_3236	302	18242	17940	Au	2	49.06	48.37
comp7073_c1_seq1_m.25977	 -nan	 -nan	comp7073_c1_seq1_m.25977	scaffold_206	18249	18632	383	Au	2	26.83	15.04
comp18734_c0_seq1_m.36727	 0.0053313	 0.013909	comp18734_c0_seq1_m.36727	scaffold2077_1_size28371	15030	18483	3453	Au	6	42.89	50.08
comp15852_c0_seq1_m.29934	 0.0087719	 0.013158	comp15852_c0_seq1_m.29934	scaffold_3281	789	3979	3190	Au	7	35.19	56.08
comp43400_c0_seq1_m.11392	 -0.0088705	 -0.0099381	comp43400_c0_seq1_m.11392	scaffold2392_1_size26192	14579	20500	5921	Au	5	24.15	18.96
comp3286_c0_seq1_m.668	 -0.0086943	 -0.02358	comp3286_c0_seq1_m.668	scaffold3899_1_size19453	3169	3792	623	Au	5	55.63	52.3
comp9085_c0_seq1_m.37414	 0.0070194	 0.0083414	comp9085_c0_seq1_m.37414	scaffold_96	36756	37735	979	Au	4	20.59	28.22
comp4383_c0_seq1_m.1117	 -0.0080224	 -0.028377	comp4383_c0_seq1_m.1117	scaffold4267_1_size18307	6696	7033	337	Au	8	21.44	16.95
comp5068_c0_seq1_m.1664	 -nan	 -nan	comp5068_c0_seq1_m.1664	scaffold1633_1_size32271	6471	10477	4006	Au	6	39.18	46.37
comp3637_c0_seq1_m.727	 0.0013896	 -0.0027175	comp3637_c0_seq1_m.727	scaffold_1397	47742	48964	1222	Au	3	48.22	67.13
comp7751_c1_seq1_m.22513	 -nan	 -nan	comp7751_c1_seq1_m.22513	scaffold1649_1_size32121	4878	5339	461	Au	8	21.44	16.95
comp12280_c0_seq1_m.35134	 0.0020506	 0.0020506	comp12280_c0_seq1_m.35134	scaffold4700_1_size17179	373	3382	3009	Au	3	42.67	57.86
comp12869_c0_seq1_m.6477	 0.013158	 0.017544	comp12869_c0_seq1_m.6477	scaffold23078_1_size3528	1277	2416	1139	Au	5	55.63	56
comp7102_c0_seq1_m.2740	 -nan	 -nan	comp7102_c0_seq1_m.2740	scaffold9866_1_size9572	4343	6122	1779	Au	5	44.52	28.22
comp13418_c1_seq1_m.28308	 -0.0035866	 0.0008434	comp13418_c1_seq1_m.28308	scaffold1760_1_size30978	19059	28371	9312	Au	2	69.43	87.27
comp7634_c0_seq1_m.3050	 0.020409	 0.041994	comp7634_c0_seq1_m.3050	scaffold1042_1_size40097	30966	31854	888	PAR	1	98.3	83.49
comp21034_c0_seq1_m.10698	 -0.014922	 -0.02362	comp21034_c0_seq1_m.10698	scaffold1390_1_size35026	8096	14603	6507	Au	8	39.96	35.47
comp17264_c0_seq1_m.29328	 -0.015678	 -0.018943	comp17264_c0_seq1_m.29328	scaffold6507_1_size13433	781	8508	7727	Au	6	50.3	57.49
comp19701_c0_seq1_m.10552	 -0.0070665	 -0.019335	comp19701_c0_seq1_m.10552	scaffold_3428	19744	21458	1714	Au	4	42.82	41.18
comp16328_c0_seq1_m.8872	 -0.0097466	 -0.0097466	comp16328_c0_seq1_m.8872	scaffold3502_1_size20964	16029	20025	3996	Au	7	14.82	32.01
comp18199_c0_seq3_m.18544	 -0.012868	 -0.020984	comp18199_c0_seq3_m.18544	scaffold1464_1_size34279	31398	32675	1277	Au	6	76.23	72.3
comp18853_c0_seq1_m.10355	 0.017337	 0.020278	comp18853_c0_seq1_m.10355	scaffold_2895	181	1356	1175	Au	6	42.89	50.08
comp15698_c0_seq1_m.8483	 1.1276e-16	 1.1276e-16	comp15698_c0_seq1_m.8483	scaffold42942_1_size1735	366	1088	722	Au	8	38.11	35.47
comp117317_c0_seq1_m.13345	 -0.0077562	 -0.018893	comp117317_c0_seq1_m.13345	scaffold5893_1_size14568	2137	2520	383	Au	8	21.44	16.95
comp8255_c0_seq1_m.34208	 -0.0054788	 -0.013328	comp8255_c0_seq1_m.34208	scaffold_2959	497	26106	25609	Au	4	15.04	18.96
comp15758_c0_seq1_m.18385	 1.1276e-16	 1.1276e-16	comp15758_c0_seq1_m.18385	scaffold_799	2462	7896	5434	Au	8	21.44	22.51
comp17088_c0_seq1_m.9344	 -0.01932	 -0.022243	comp17088_c0_seq1_m.9344	scaffold_1176	79	5718	5639	Au	4	55.78	50.44
comp8603_c0_seq1_m.3590	 -0.010391	 -0.010391	comp8603_c0_seq1_m.3590	scaffold_290	10100	25013	14913	Au	4	59.49	59.7
comp16208_c0_seq1_m.8807	 -0.020987	 -0.020076	comp16208_c0_seq1_m.8807	scaffold29053_1_size2597	106	1622	1516	Au	5	13.04	13.4
comp15929_c0_seq1_m.34633	 -0.01878	 -0.015108	comp15929_c0_seq1_m.34633	scaffold_2023	33861	35429	1568	Au	5	13.04	13.4
comp10671_c0_seq1_m.4948	 -0.005358	 -0.0017017	comp10671_c0_seq1_m.4948	scaffold_2552	272	30405	30133	Au	3	14.89	20.82
comp8150_c0_seq1_m.3333	 -0.010672	 -0.016218	comp8150_c0_seq1_m.3333	scaffold4705_1_size17165	738	1853	1115	Au	4	18.74	28.22
comp9013_c0_seq1_m.3862	 -0.0065128	 -0.0040405	comp9013_c0_seq1_m.3862	scaffold_10	36220	37094	874	Au	5	22.3	18.96
comp14203_c0_seq1_m.7445	 -0.023417	 -0.026571	comp14203_c0_seq1_m.7445	scaffold2052_1_size28623	6143	9430	3287	Au	2	62.02	70.6
comp12075_c0_seq1_m.33946	 -0.026046	 -0.029952	comp12075_c0_seq1_m.33946	scaffold_1489	17274	18566	1292	Au	6	35.48	42.67
comp59245_c0_seq1_m.11763	 -0.017582	 -0.031274	comp59245_c0_seq1_m.11763	scaffold1769_1_size30931	24087	24425	338	PAR	1	70.52	72.37
comp18360_c0_seq1_m.31698	 0.01964	 0.030418	comp18360_c0_seq1_m.31698	scaffold10955_1_size8446	3554	6519	2965	Au	7	38.89	72.75
comp11005_c0_seq1_m.21419	 -0.0053245	 -0.0060281	comp11005_c0_seq1_m.21419	scaffold_2603	60708	64295	3587	Au	2	34.24	22.44
comp17428_c0_seq1_m.24485	 0.023229	 0.020698	comp17428_c0_seq1_m.24485	scaffold4603_1_size17395	9955	12172	2217	PAR	1	48.3	40.89
comp16729_c0_seq1_m.28417	 -0.024808	 -0.029531	comp16729_c0_seq1_m.28417	scaffold1779_1_size30840	18336	20724	2388	Au	3	85.27	98.61
comp13885_c0_seq1_m.38125	 -0.014354	 -0.025779	comp13885_c0_seq1_m.38125	scaffold_332	16321	16959	638	Au	2	71.28	90.97
comp10769_c0_seq2_m.17061	 -0.0038091	 -0.013721	comp10769_c0_seq2_m.17061	scaffold33_1_size132501	50453	50866	413	PAR	1	46.44	26
comp15577_c0_seq1_m.8389	 0.0095214	 0.015681	comp15577_c0_seq1_m.8389	scaffold15568_1_size6427	2438	6427	3989	Au	4	5.78	17.11
comp17312_c0_seq1_m.9483	 -0.0098798	 -0.010476	comp17312_c0_seq1_m.9483	scaffold1209_1_size37414	693	18322	17629	Au	5	55.63	57.85
comp13060_c0_seq1_m.6635	 0.017105	 0.032581	comp13060_c0_seq1_m.6635	scaffold_3769	451	2258	1807	PAR	1	63.11	68.67
comp14539_c0_seq1_m.16573	 -0.021199	 -0.023036	comp14539_c0_seq1_m.16573	scaffold_2488	678	10202	9524	Au	2	19.42	11.33
comp9008_c0_seq1_m.3858	 -0.014161	 -0.017671	comp9008_c0_seq1_m.3858	scaffold_1846	20318	21947	1629	PAR	1	7.55	7.48
comp18754_c0_seq6_m.20768	 -0.0007091	 0.0013891	comp18754_c0_seq6_m.20768	scaffold_1415	17594	18613	1019	Au	4	16.89	26.37
comp11713_c0_seq1_m.35652	 -0.029872	 -0.029872	comp11713_c0_seq1_m.35652	scaffold2_1_size275968	193690	195227	1537	Au	3	42.67	61.57
comp4589_c0_seq1_m.1271	 -0.018006	 -0.032581	comp4589_c0_seq1_m.1271	scaffold23399_1_size3450	1383	1864	481	Au	7	51.86	80.16
comp11458_c0_seq1_m.5453	 0.030738	 0.053242	comp11458_c0_seq1_m.5453	scaffold_999	189	4310	4121	Au	7	42.6	74.6
comp18681_c0_seq1_m.35542	 -0.016844	 -0.019173	comp18681_c0_seq1_m.35542	scaffold435_1_size57054	47574	56643	9069	Au	2	71.28	90.97
comp18653_c0_seq1_m.10261	 0.038743	 0.038743	comp18653_c0_seq1_m.10261	scaffold_3832	5741	7897	2156	Au	2	71.28	87.27
comp6431_c0_seq1_m.2314	 -0.019951	 -0.026316	comp6431_c0_seq1_m.2314	scaffold11885_1_size7815	5806	6390	584	Au	6	41.04	46.37
comp12611_c0_seq1_m.29907	 -0.0076405	 -0.024264	comp12611_c0_seq1_m.29907	scaffold925_1_size42423	1563	9581	8018	Au	2	39.8	33.56
comp4078_c0_seq1_m.926	 -0.01118	 -0.020269	comp4078_c0_seq1_m.926	scaffold1953_1_size29360	14021	24093	10072	Au	3	37.11	46.75
comp9342_c0_seq1_m.4079	 -nan	 -nan	comp9342_c0_seq1_m.4079	scaffold965_1_size41640	37444	37755	311	PAR	1	83.49	83.49
comp34084_c0_seq1_m.11172	 0.0050541	 0.0064254	comp34084_c0_seq1_m.11172	scaffold3863_1_size19559	5153	5672	519	Au	5	74.15	67.11
comp60948_c0_seq1_m.11806	 -0.019659	 -0.028905	comp60948_c0_seq1_m.11806	scaffold213_1_size73643	15796	16146	350	Au	3	53.78	78.24
comp16146_c0_seq2_m.17587	 -0.010126	 -0.015277	comp16146_c0_seq2_m.17587	scaffold7783_1_size11814	7747	11574	3827	Au	7	14.82	32.01
comp18925_c0_seq30_m.18210	 -0.0085611	 -0.016566	comp18925_c0_seq30_m.18210	scaffold5194_1_size16043	5231	8309	3078	Au	2	49.06	48.37
comp18956_c0_seq3_m.26531	 -0.011624	 -0.012131	comp18956_c0_seq3_m.26531	scaffold2866_1_size23610	4978	8010	3032	Au	6	16.96	11.18
comp14391_c1_seq5_m.28729	 0.017544	 0.031579	comp14391_c1_seq5_m.28729	scaffold7489_1_size12151	9699	11758	2059	SL	1	53.85	61.26
comp14567_c0_seq1_m.7691	 -0.011762	 -0.0058299	comp14567_c0_seq1_m.7691	scaffold1646_1_size32134	17002	19559	2557	Au	4	28	33.78
comp10648_c0_seq1_m.4928	 -0.0080894	 -0.0092299	comp10648_c0_seq1_m.4928	scaffold_1842	40214	43078	2864	Au	4	39.11	37.48
comp428_c0_seq1_m.115	 -0.0078944	 -0.016181	comp428_c0_seq1_m.115	scaffold7253_1_size12411	2541	2930	389	Au	6	20.66	14.89
