query	target	target_begin	target_end	AlignmentLength
comp11278_c0_seq1_m.5337	scaffold_2476	1	11607	11606
comp200682_c0_seq1_m.14655	scaffold_2476	25748	26074	326
comp140734_c0_seq1_m.13815	scaffold_2476	26090	26689	599
comp896_c0_seq1_m.250	scaffold_2476	27272	28824	1552
comp5379_c1_seq1_m.35100	scaffold_2476	30624	32252	1628
comp17861_c0_seq7_m.36709	scaffold_2476	40336	44930	4594
comp10067_c0_seq1_m.4538	scaffold_2477	12558	16802	4244
comp10067_c0_seq1_m.4539	scaffold_2477	13583	14077	494
comp10067_c0_seq1_m.4541	scaffold_2477	14628	15210	582
comp10067_c0_seq1_m.4542	scaffold_2477	16422	16820	398
comp7062_c0_seq1_m.2709	scaffold_2478	6060	10318	4258
comp13956_c1_seq1_m.18141	scaffold_248	116	7983	7867
comp16377_c0_seq2_m.26758	scaffold_2480	793	2223	1430
comp12767_c0_seq1_m.6415	scaffold_2480	2652	4680	2028
comp11616_c0_seq1_m.5566	scaffold_2481	51	7689	7638
comp18032_c0_seq3_m.27766	scaffold_2482	3625	6615	2990
comp16253_c0_seq1_m.8831	scaffold_2485	6486	12592	6106
comp16389_c0_seq1_m.8914	scaffold_2486	22	2435	2413
comp62372_c0_seq1_m.11839	scaffold_2486	6040	7106	1066
comp17037_c0_seq1_m.9313	scaffold_2487	537	2367	1830
comp14539_c0_seq1_m.16573	scaffold_2488	678	10202	9524
comp9867_c0_seq1_m.21992	scaffold_2488	12447	16289	3842
comp18507_c0_seq1_m.36649	scaffold_2489	337	23263	22926
comp15235_c0_seq1_m.20903	scaffold_249	492	2092	1600
comp19034_c0_seq3_m.22326	scaffold_2490	1	1048	1047
comp16838_c0_seq1_m.9207	scaffold_2491	5773	11670	5897
comp8915_c0_seq1_m.3791	scaffold_2493	11503	12149	646
comp95511_c0_seq1_m.12730	scaffold_2494	1491	4740	3249
comp78248_c0_seq1_m.12250	scaffold_2494	4862	5957	1095
comp4289_c0_seq1_m.1047	scaffold_2494	6182	7955	1773
comp36097_c0_seq1_m.11234	scaffold_2494	13733	15361	1628
comp9728_c1_seq1_m.17097	scaffold_2494	39472	41417	1945
comp16742_c0_seq1_m.17818	scaffold_2495	668	70293	69625
comp89124_c0_seq1_m.12536	scaffold_2495	7822	10554	2732
comp203401_c0_seq1_m.14729	scaffold_2495	10555	10881	326
comp10250_c0_seq1_m.4652	scaffold_2495	55410	55523	113
comp16742_c0_seq1_m.17819	scaffold_2495	60966	61430	464
comp6113_c0_seq1_m.2123	scaffold_2495	70755	71743	988
comp14178_c0_seq1_m.28673	scaffold_2496	408	2030	1622
comp15859_c0_seq1_m.23983	scaffold_2497	786	4333	3547
comp11628_c1_seq1_m.32609	scaffold_25	519	4368	3849
comp13457_c0_seq1_m.6909	scaffold_250	6513	22451	15938
comp15984_c1_seq1_m.16966	scaffold_2500	682	7602	6920
comp17176_c0_seq1_m.34444	scaffold_2501	2853	3372	519
comp17176_c1_seq1_m.34445	scaffold_2501	3405	8304	4899
comp18118_c0_seq1_m.9954	scaffold_2502	650	6362	5712
comp10506_c0_seq1_m.4829	scaffold_2503	343	2286	1943
comp9428_c0_seq1_m.4129	scaffold_2504	1030	8420	7390
comp15648_c0_seq1_m.32769	scaffold_2505	7796	24849	17053
comp7986_c0_seq1_m.3259	scaffold_2505	18807	20799	1992
comp18393_c0_seq2_m.28265	scaffold_2505	22267	38040	15773
comp18393_c0_seq2_m.28266	scaffold_2505	37647	38246	599
comp111550_c0_seq1_m.13135	scaffold_2505	43133	45112	1979
comp126503_c0_seq1_m.13575	scaffold_2505	45137	45657	520
comp11116_c0_seq1_m.5241	scaffold_2506	922	8532	7610
comp16835_c0_seq3_m.32315	scaffold_2506	12569	13108	539
comp18803_c0_seq1_m.19766	scaffold_2507	436	13233	12797
comp15739_c0_seq1_m.8504	scaffold_2508	1193	8232	7039
comp15898_c0_seq1_m.8592	scaffold_2508	10850	11070	220
comp18015_c1_seq2_m.30074	scaffold_2511	132	5524	5392
comp4415_c0_seq1_m.1140	scaffold_2511	12958	14109	1151
comp8359_c0_seq1_m.3437	scaffold_2512	917	4018	3101
comp17387_c0_seq1_m.9531	scaffold_2512	5439	34869	29430
comp12285_c0_seq1_m.6050	scaffold_2512	13471	14037	566
comp12285_c0_seq1_m.6053	scaffold_2512	14207	14392	185
comp12285_c0_seq1_m.6052	scaffold_2512	14430	14924	494
comp78592_c0_seq1_m.12254	scaffold_2513	14114	14858	744
comp18560_c0_seq2_m.34935	scaffold_2514	183	1693	1510
comp15843_c1_seq8_m.39132	scaffold_2515	3972	23228	19256
comp15283_c0_seq1_m.34232	scaffold_2517	7647	10277	2630
comp156382_c0_seq1_m.14166	scaffold_2518	51	630	579
comp39867_c0_seq1_m.11325	scaffold_252	6949	13045	6096
comp18695_c0_seq1_m.34955	scaffold_2521	1100	11701	10601
comp10374_c0_seq1_m.4734	scaffold_2522	8425	17597	9172
comp18622_c0_seq1_m.10244	scaffold_2527	1	1413	1412
comp15270_c0_seq1_m.26019	scaffold_2528	2820	4334	1514
comp12495_c0_seq1_m.6202	scaffold_2528	7624	9397	1773
comp12548_c0_seq1_m.16042	scaffold_2529	192	1487	1295
comp15403_c0_seq1_m.36171	scaffold_253	731	4333	3602
comp13307_c0_seq1_m.18151	scaffold_2530	746	1544	798
comp11238_c0_seq1_m.5317	scaffold_2530	2915	9806	6891
comp7860_c0_seq1_m.3182	scaffold_2530	19447	20520	1073
comp8484_c0_seq1_m.3521	scaffold_2530	23938	30087	6149
comp8614_c0_seq1_m.3596	scaffold_2531	5798	68817	63019
comp4680_c0_seq1_m.1370	scaffold_2531	27130	27564	434
comp19068_c0_seq1_m.10459	scaffold_2531	28877	29284	407
comp17189_c0_seq1_m.26714	scaffold_2531	31618	36812	5194
comp8063_c1_seq2_m.32298	scaffold_2531	38654	39637	983
comp59493_c0_seq1_m.11773	scaffold_2531	41348	42874	1526
comp9865_c0_seq1_m.4394	scaffold_2531	44021	51097	7076
comp16033_c0_seq4_m.24927	scaffold_2531	53287	57709	4422
comp4391_c0_seq1_m.1125	scaffold_2533	9340	11189	1849
comp32_c0_seq1_m.30229	scaffold_2533	20684	21808	1124
comp11712_c0_seq1_m.5649	scaffold_2534	24052	24734	682
comp18893_c0_seq3_m.21898	scaffold_2535	1	1274	1273
comp14937_c0_seq1_m.7939	scaffold_2535	7824	11125	3301
comp8843_c0_seq1_m.17909	scaffold_2536	835	14111	13276
comp11950_c0_seq1_m.21005	scaffold_2536	15793	18132	2339
comp5943_c0_seq1_m.17866	scaffold_2537	1799	8294	6495
comp8976_c0_seq1_m.3838	scaffold_2539	6295	7883	1588
comp15686_c0_seq1_m.30742	scaffold_254	608	1977	1369
comp17333_c0_seq1_m.9496	scaffold_254	2669	3947	1278
comp15686_c0_seq2_m.30745	scaffold_254	6925	8573	1648
comp15991_c1_seq1_m.34675	scaffold_254	13020	14668	1648
comp14530_c0_seq1_m.7670	scaffold_2541	365	1799	1434
comp18023_c0_seq1_m.9882	scaffold_2542	820	5080	4260
comp7215_c0_seq1_m.2797	scaffold_2543	352	3527	3175
comp193957_c0_seq1_m.14600	scaffold_2544	4421	4738	317
comp9293_c0_seq1_m.4044	scaffold_2544	5448	10147	4699
comp16958_c0_seq7_m.25970	scaffold_2546	8458	8861	403
comp15149_c0_seq1_m.8097	scaffold_2548	301	8954	8653
comp18821_c0_seq1_m.38718	scaffold_2549	1	17094	17093
comp105570_c0_seq1_m.13039	scaffold_2549	19264	19858	594
comp4037_c0_seq1_m.902	scaffold_2549	22456	26802	4346
comp5163_c0_seq1_m.37012	scaffold_2549	49261	52161	2900
comp43819_c0_seq1_m.11397	scaffold_2549	53599	56245	2646
comp17541_c0_seq2_m.26302	scaffold_2549	56849	61981	5132
comp10124_c0_seq1_m.4574	scaffold_2550	364	1013	649
comp18476_c0_seq2_m.27720	scaffold_2551	101	2084	1983
comp9137_c0_seq1_m.3937	scaffold_2551	4640	8500	3860
comp10671_c0_seq1_m.4948	scaffold_2552	272	30405	30133
comp12180_c0_seq1_m.5982	scaffold_2552	7831	8961	1130
comp15397_c0_seq2_m.28355	scaffold_2552	30729	33470	2741
comp16430_c0_seq1_m.8939	scaffold_2553	470	10215	9745
comp12259_c0_seq1_m.6033	scaffold_2554	4243	6479	2236
comp12366_c0_seq1_m.6112	scaffold_2554	7812	9388	1576
comp103555_c0_seq1_m.12959	scaffold_2555	269	14674	14405
comp1592_c0_seq1_m.392	scaffold_2555	11264	12376	1112
comp9051_c0_seq1_m.33913	scaffold_2556	112	54242	54130
comp4616_c0_seq1_m.1313	scaffold_2556	18745	19718	973
comp9051_c0_seq1_m.33911	scaffold_2556	54111	56058	1947
comp17126_c0_seq1_m.34058	scaffold_2556	73135	75787	2652
comp12867_c0_seq1_m.6474	scaffold_2556	79544	83734	4190
comp12416_c0_seq1_m.6147	scaffold_2557	18506	24705	6199
comp109847_c0_seq1_m.13098	scaffold_2557	25741	26832	1091
comp9470_c1_seq1_m.16482	scaffold_2558	4620	5023	403
comp18280_c0_seq1_m.38244	scaffold_2559	9085	10092	1007
comp11704_c0_seq1_m.5646	scaffold_256	1483	34821	33338
comp16448_c0_seq1_m.8950	scaffold_2560	535	8740	8205
comp9924_c0_seq1_m.19294	scaffold_2560	10049	13451	3402
comp1256_c0_seq1_m.332	scaffold_2560	17431	17877	446
comp18783_c0_seq1_m.30963	scaffold_2561	2513	26943	24430
comp6482_c0_seq1_m.23571	scaffold_2561	14501	17145	2644
comp200977_c0_seq1_m.14667	scaffold_2563	157	1272	1115
comp9838_c0_seq1_m.4379	scaffold_2564	157	1731	1574
comp11797_c0_seq1_m.5707	scaffold_2565	448	23345	22897
comp7976_c0_seq1_m.3253	scaffold_2565	5300	6422	1122
comp165781_c0_seq1_m.14292	scaffold_2565	7887	8275	388
comp128496_c0_seq1_m.13648	scaffold_2565	8360	9085	725
comp10524_c0_seq1_m.4843	scaffold_2565	13319	19843	6524
comp140083_c0_seq1_m.13783	scaffold_2565	25734	26126	392
comp199776_c0_seq1_m.14629	scaffold_2565	26283	26582	299
comp16388_c0_seq2_m.25523	scaffold_2565	30996	34057	3061
comp6952_c0_seq1_m.2656	scaffold_2565	35168	37786	2618
comp8630_c0_seq1_m.35119	scaffold_2567	797	1156	359
comp12773_c0_seq1_m.6422	scaffold_2567	1840	3439	1599
comp15861_c0_seq17_m.29419	scaffold_2569	9154	9813	659
comp5386_c0_seq1_m.1821	scaffold_257	362	3373	3011
comp17394_c0_seq1_m.17725	scaffold_2570	49	911	862
comp18583_c0_seq2_m.26620	scaffold_2571	341	1054	713
comp73915_c0_seq1_m.12137	scaffold_2571	10938	11249	311
comp12897_c0_seq1_m.6508	scaffold_2573	713	2614	1901
comp14995_c0_seq1_m.38138	scaffold_2574	306	11851	11545
comp15662_c0_seq1_m.8457	scaffold_2576	1332	3335	2003
comp18833_c0_seq16_m.24153	scaffold_2578	16916	17299	383
comp18833_c0_seq12_m.24115	scaffold_2578	17447	19038	1591
comp18833_c0_seq24_m.24177	scaffold_2578	20788	21074	286
comp18833_c0_seq11_m.24141	scaffold_2578	21508	21695	187
comp8109_c0_seq1_m.3319	scaffold_2578	28342	31616	3274
comp395_c0_seq1_m.109	scaffold_2578	42097	44346	2249
comp12607_c0_seq1_m.16802	scaffold_2578	46726	47080	354
comp12607_c0_seq2_m.16804	scaffold_2578	47113	47423	310
comp6643_c1_seq1_m.33221	scaffold_2578	48796	49296	500
comp53457_c0_seq1_m.11646	scaffold_2578	54894	57014	2120
comp53457_c0_seq1_m.11648	scaffold_2578	56547	56852	305
comp18158_c0_seq1_m.33092	scaffold_2579	310	7427	7117
comp13968_c0_seq2_m.26764	scaffold_258	27	14802	14775
comp6271_c0_seq1_m.2211	scaffold_258	7700	9304	1604
comp115419_c0_seq1_m.13308	scaffold_258	9418	10449	1031
comp12729_c0_seq1_m.22178	scaffold_2581	8908	11140	2232
comp12729_c0_seq1_m.22180	scaffold_2581	14785	15090	305
comp10735_c0_seq1_m.18387	scaffold_2581	17176	20273	3097
comp12850_c1_seq1_m.23001	scaffold_2581	22303	24014	1711
comp17971_c0_seq1_m.29505	scaffold_2582	25	1073	1048
comp18841_c0_seq8_m.27236	scaffold_2583	432	3114	2682
comp16046_c0_seq1_m.31957	scaffold_2584	324	652	328
comp90718_c0_seq1_m.12601	scaffold_2585	199	814	615
comp95941_c0_seq1_m.12748	scaffold_2585	6763	7200	437
comp19016_c0_seq2_m.19082	scaffold_2587	512	4766	4254
comp16535_c0_seq1_m.9011	scaffold_2589	112	1700	1588
comp3948_c0_seq1_m.835	scaffold_2590	932	2949	2017
comp84598_c0_seq1_m.12438	scaffold_2590	5658	6381	723
comp14154_c0_seq1_m.36454	scaffold_2592	1147	3556	2409
comp14154_c0_seq1_m.36455	scaffold_2592	4484	8130	3646
comp14693_c0_seq1_m.21428	scaffold_2594	351	3983	3632
comp10405_c0_seq1_m.17227	scaffold_2595	237	2537	2300
comp140233_c0_seq1_m.13789	scaffold_2596	550	1074	524
comp16259_c0_seq1_m.37579	scaffold_2598	813	2192	1379
comp17155_c0_seq2_m.16451	scaffold_2599	308	5430	5122
comp18994_c0_seq14_m.24384	scaffold_26	700	14371	13671
comp16457_c0_seq1_m.8957	scaffold_2600	2306	3681	1375
comp18921_c0_seq1_m.10383	scaffold_2601	519	4022	3503
comp17295_c0_seq3_m.18869	scaffold_2602	21711	46445	24734
comp12857_c0_seq1_m.6469	scaffold_2603	6176	6820	644
comp111515_c0_seq1_m.13128	scaffold_2603	8459	9346	887
comp143896_c0_seq1_m.13964	scaffold_2603	9747	10284	537
comp200776_c0_seq1_m.14660	scaffold_2603	10406	10759	353
comp8429_c1_seq1_m.27299	scaffold_2603	13317	20018	6701
comp7563_c0_seq1_m.21771	scaffold_2603	25204	26868	1664
comp11074_c0_seq1_m.5223	scaffold_2603	30316	42039	11723
comp11074_c0_seq1_m.5224	scaffold_2603	30972	31265	293
comp14520_c0_seq1_m.20822	scaffold_2603	47456	56589	9133
comp11005_c0_seq1_m.21419	scaffold_2603	60708	64295	3587
comp11005_c0_seq1_m.21421	scaffold_2603	64139	64422	283
comp16343_c0_seq1_m.8877	scaffold_2604	994	6922	5928
comp13735_c0_seq1_m.32439	scaffold_2605	570	19335	18765
comp12422_c0_seq1_m.6152	scaffold_2605	17133	18327	1194
comp18011_c0_seq1_m.30439	scaffold_2606	1	2176	2175
comp13142_c0_seq1_m.31640	scaffold_2607	615	2884	2269
comp13142_c0_seq2_m.31642	scaffold_2607	2056	3278	1222
comp15626_c0_seq1_m.8430	scaffold_2608	192	59269	59077
comp227553_c0_seq1_m.14982	scaffold_2608	23806	24225	419
comp205925_c0_seq1_m.14781	scaffold_2608	25264	26755	1491
comp84103_c0_seq1_m.12403	scaffold_2608	26858	32664	5806
comp84103_c0_seq1_m.12404	scaffold_2608	28597	29963	1366
comp84103_c0_seq1_m.12406	scaffold_2608	33065	33530	465
comp12708_c2_seq1_m.31018	scaffold_2608	34899	40941	6042
comp12708_c2_seq1_m.31019	scaffold_2608	38928	39535	607
comp20232_c0_seq1_m.10622	scaffold_2608	46691	48292	1601
comp7401_c0_seq1_m.38072	scaffold_2608	53701	54847	1146
comp17256_c0_seq1_m.9449	scaffold_2609	374	1810	1436
comp12560_c0_seq1_m.6252	scaffold_2610	640	1143	503
comp18781_c0_seq1_m.37562	scaffold_2612	329	1990	1661
comp18781_c0_seq1_m.37563	scaffold_2612	1697	1990	293
comp15443_c0_seq1_m.23500	scaffold_2613	525	20854	20329
comp31577_c0_seq1_m.11115	scaffold_2615	2433	4016	1583
comp18136_c0_seq1_m.18963	scaffold_2616	37026	39665	2639
comp18702_c0_seq1_m.38984	scaffold_2616	50349	51160	811
comp18702_c0_seq4_m.38988	scaffold_2616	51894	52301	407
comp18702_c0_seq2_m.38986	scaffold_2616	56875	59868	2993
comp11228_c0_seq2_m.25171	scaffold_2616	61487	62808	1321
comp14762_c0_seq1_m.21233	scaffold_2616	68221	70700	2479
comp14557_c0_seq1_m.7687	scaffold_2617	36621	39330	2709
comp113872_c0_seq1_m.13264	scaffold_2618	1851	9581	7730
comp18391_c0_seq1_m.24585	scaffold_262	1419	1660	241
comp18391_c0_seq1_m.24584	scaffold_262	11162	13464	2302
comp10960_c0_seq1_m.5145	scaffold_2621	4260	5894	1634
comp18370_c0_seq1_m.38943	scaffold_2622	8	1098	1090
comp16477_c0_seq1_m.8967	scaffold_2623	43998	47049	3051
comp18897_c0_seq9_m.29680	scaffold_2624	19	800	781
comp18897_c0_seq4_m.29679	scaffold_2624	726	1497	771
comp18897_c0_seq1_m.29669	scaffold_2624	2575	3207	632
comp1526_c0_seq1_m.384	scaffold_2625	13947	15259	1312
comp11239_c0_seq1_m.5318	scaffold_2625	23086	25364	2278
comp8166_c0_seq1_m.3339	scaffold_2625	28765	34495	5730
comp18456_c0_seq2_m.23646	scaffold_2626	185	21287	21102
comp18456_c0_seq1_m.23641	scaffold_2626	15102	18215	3113
comp18084_c0_seq1_m.9927	scaffold_2627	5911	20523	14612
comp16421_c0_seq1_m.8935	scaffold_2628	225	8045	7820
comp6596_c0_seq1_m.28576	scaffold_2629	2204	10197	7993
comp6596_c0_seq1_m.28577	scaffold_2629	9230	9879	649
comp519_c0_seq1_m.149	scaffold_2629	12666	14232	1566
comp7096_c0_seq1_m.2734	scaffold_263	913	25103	24190
comp7096_c0_seq1_m.2735	scaffold_263	22683	23645	962
comp13367_c0_seq1_m.6850	scaffold_263	25719	28107	2388
comp14000_c0_seq1_m.27741	scaffold_263	32388	32714	326
comp10066_c0_seq1_m.4537	scaffold_263	41518	43884	2366
comp7001_c1_seq1_m.27220	scaffold_263	50333	53957	3624
comp117271_c0_seq1_m.13344	scaffold_263	57311	57700	389
comp5171_c0_seq1_m.1733	scaffold_263	58729	61499	2770
comp15869_c0_seq1_m.39169	scaffold_2630	553	2782	2229
comp14493_c0_seq1_m.23880	scaffold_2630	5769	6719	950
comp16217_c0_seq1_m.8814	scaffold_2631	7915	8283	368
comp16217_c0_seq1_m.8812	scaffold_2631	11083	11888	805
comp85618_c0_seq1_m.12478	scaffold_2632	1370	2143	773
comp105185_c0_seq1_m.13028	scaffold_2632	2506	3046	540
comp8383_c0_seq1_m.16663	scaffold_2633	3856	4524	668
comp8383_c1_seq1_m.16664	scaffold_2633	4782	14418	9636
comp7923_c0_seq1_m.3217	scaffold_2634	374	1877	1503
comp18973_c0_seq2_m.15513	scaffold_2634	3015	4412	1397
comp18973_c0_seq2_m.15511	scaffold_2634	6092	9520	3428
comp13721_c0_seq1_m.7074	scaffold_2636	1135	8768	7633
comp13721_c0_seq1_m.7077	scaffold_2636	4694	5101	407
comp13721_c0_seq1_m.7075	scaffold_2636	5121	6872	1751
comp16749_c0_seq1_m.9160	scaffold_2638	1	2977	2976
comp18139_c0_seq1_m.9968	scaffold_2639	1	1688	1687
comp57598_c0_seq1_m.11733	scaffold_2640	55	411	356
comp11653_c0_seq1_m.5600	scaffold_2640	26503	27149	646
comp11653_c0_seq1_m.5599	scaffold_2640	27927	29970	2043
comp11653_c0_seq1_m.5602	scaffold_2640	29940	30367	427
comp6881_c0_seq1_m.2610	scaffold_2640	31908	37876	5968
comp6881_c0_seq1_m.2612	scaffold_2640	35188	35774	586
comp14584_c1_seq1_m.26808	scaffold_2640	52046	52978	932
comp80246_c0_seq1_m.12290	scaffold_2641	1872	18859	16987
comp18981_c1_seq8_m.20843	scaffold_2642	986	1427	441
comp18981_c1_seq1_m.20832	scaffold_2642	2515	5582	3067
comp11271_c0_seq1_m.17374	scaffold_2643	171	20829	20658
comp47490_c0_seq1_m.11504	scaffold_2643	49403	52477	3074
comp6485_c0_seq1_m.2338	scaffold_2643	55433	59244	3811
comp18487_c0_seq14_m.30838	scaffold_2643	71670	72039	369
comp48678_c0_seq1_m.11532	scaffold_2643	72519	73443	924
comp10490_c0_seq1_m.4818	scaffold_2644	18507	22784	4277
comp10490_c0_seq1_m.4817	scaffold_2644	23074	31715	8641
comp10490_c0_seq1_m.4820	scaffold_2644	28165	29621	1456
comp10490_c0_seq1_m.4819	scaffold_2644	31762	34846	3084
comp8572_c0_seq1_m.3570	scaffold_2644	39534	42767	3233
comp11972_c0_seq1_m.5829	scaffold_2644	45557	57050	11493
comp12939_c0_seq1_m.6548	scaffold_2644	77237	79147	1910
comp13221_c0_seq1_m.16177	scaffold_2644	80548	83121	2573
comp10701_c0_seq2_m.29613	scaffold_2645	1073	35155	34082
comp11833_c2_seq1_m.19843	scaffold_2645	7047	8078	1031
comp7710_c0_seq1_m.3089	scaffold_2645	24522	31519	6997
comp25160_c0_seq1_m.10918	scaffold_2645	26830	34150	7320
comp10701_c0_seq1_m.29612	scaffold_2645	35418	37821	2403
comp17846_c0_seq2_m.26339	scaffold_2647	626	926	300
comp14643_c0_seq1_m.7736	scaffold_2648	444	3438	2994
comp9184_c0_seq1_m.3964	scaffold_2648	4223	4831	608
comp13646_c0_seq1_m.33232	scaffold_2649	39093	41719	2626
comp17060_c0_seq1_m.30866	scaffold_265	18	30298	30280
comp18931_c0_seq1_m.10386	scaffold_2652	702	6090	5388
comp18931_c0_seq1_m.10389	scaffold_2652	3944	4353	409
comp14773_c0_seq2_m.31973	scaffold_2653	7464	8134	670
comp124133_c0_seq1_m.13467	scaffold_2654	272	942	670
comp14348_c0_seq1_m.27047	scaffold_2655	458	1907	1449
comp16669_c0_seq2_m.29095	scaffold_2655	8478	9699	1221
comp10838_c0_seq1_m.5066	scaffold_2657	12060	13928	1868
comp18820_c0_seq1_m.10348	scaffold_2658	1	9355	9354
comp8962_c0_seq1_m.3825	scaffold_2659	93	3098	3005
comp17302_c0_seq1_m.36296	scaffold_2659	4936	5448	512
comp16348_c0_seq1_m.34411	scaffold_2660	14774	25633	10859
comp22967_c0_seq1_m.10814	scaffold_2660	20627	27215	6588
comp12257_c0_seq1_m.6030	scaffold_2663	1590	17825	16235
comp12257_c0_seq1_m.6032	scaffold_2663	5726	6560	834
comp3_c0_seq1_m.31739	scaffold_2663	9602	10328	726
comp11853_c0_seq1_m.5751	scaffold_2663	10350	12047	1697
comp7176_c0_seq1_m.2778	scaffold_2664	77	10652	10575
comp15119_c0_seq1_m.8065	scaffold_2665	198	8584	8386
comp14832_c0_seq1_m.7855	scaffold_2665	11527	17207	5680
comp11486_c0_seq1_m.5472	scaffold_2665	17784	19669	1885
comp22417_c0_seq1_m.10780	scaffold_2666	12997	27794	14797
comp13539_c0_seq1_m.21916	scaffold_2667	3112	3892	780
comp14024_c0_seq1_m.22647	scaffold_2667	4705	8244	3539
comp3865_c0_seq1_m.776	scaffold_2667	8749	11035	2286
comp3865_c0_seq1_m.777	scaffold_2667	11968	14067	2099
comp12326_c0_seq1_m.6084	scaffold_2667	16669	18420	1751
comp17581_c0_seq1_m.9643	scaffold_2668	2941	11162	8221
comp18444_c0_seq1_m.18797	scaffold_2669	647	1245	598
comp153935_c0_seq1_m.14147	scaffold_267	525	1758	1233
comp13746_c0_seq2_m.20199	scaffold_2670	640	26105	25465
comp18014_c0_seq2_m.22295	scaffold_2671	1	2890	2889
comp16174_c0_seq1_m.8790	scaffold_2672	187	11208	11021
comp17645_c0_seq1_m.25212	scaffold_2673	1443	8272	6829
comp9353_c0_seq1_m.4086	scaffold_2674	124	4149	4025
comp17613_c0_seq1_m.9657	scaffold_2675	214	1934	1720
comp70428_c0_seq1_m.12040	scaffold_2676	1415	1852	437
comp10962_c0_seq1_m.28709	scaffold_2679	1	12245	12244
comp12070_c0_seq1_m.19134	scaffold_2679	5967	6875	908
comp13881_c0_seq1_m.7181	scaffold_268	4633	5700	1067
comp16011_c0_seq1_m.23039	scaffold_2680	1187	5378	4191
comp18610_c0_seq6_m.20436	scaffold_2683	17	916	899
comp17576_c0_seq1_m.26026	scaffold_2684	1046	15599	14553
comp14496_c0_seq1_m.7642	scaffold_2685	302	12050	11748
comp15935_c0_seq1_m.8614	scaffold_2686	7499	8725	1226
comp17804_c0_seq1_m.36592	scaffold_2689	126	1117	991
comp18985_c0_seq1_m.10433	scaffold_269	1032	4575	3543
comp15887_c0_seq1_m.24980	scaffold_2690	1057	6780	5723
comp15887_c0_seq1_m.24981	scaffold_2690	7094	8071	977
comp6661_c0_seq1_m.34206	scaffold_2691	5157	7365	2208
comp8453_c0_seq1_m.36799	scaffold_2692	3739	11696	7957
comp4247_c0_seq1_m.1024	scaffold_2692	17304	18539	1235
comp12252_c0_seq1_m.6026	scaffold_2694	7133	26623	19490
comp70717_c0_seq1_m.12051	scaffold_2694	12310	12943	633
comp10545_c0_seq1_m.21143	scaffold_2694	13648	15265	1617
comp10357_c0_seq1_m.4722	scaffold_2697	1441	5386	3945
comp1236_c0_seq1_m.324	scaffold_2697	9330	13566	4236
comp13083_c0_seq1_m.6650	scaffold_2697	16818	17174	356
comp12810_c0_seq1_m.37215	scaffold_2697	20761	23203	2442
comp17580_c0_seq8_m.16988	scaffold_2699	1	21426	21425
comp17580_c0_seq8_m.16989	scaffold_2699	13563	21426	7863
comp261276_c0_seq1_m.15055	scaffold_2699	18144	18455	311
comp17580_c0_seq8_m.16990	scaffold_2699	20040	21036	996
comp10206_c0_seq1_m.4626	scaffold_27	558	7050	6492
comp9262_c1_seq1_m.21265	scaffold_27	7357	7628	271
comp9059_c0_seq1_m.3890	scaffold_27	9110	9779	669
comp17232_c0_seq9_m.23284	scaffold_27	11150	12335	1185
comp17232_c0_seq1_m.23267	scaffold_27	12535	13503	968
comp14921_c0_seq1_m.36956	scaffold_270	263	24962	24699
comp10823_c1_seq1_m.24321	scaffold_270	32877	34007	1130
comp10823_c0_seq1_m.24320	scaffold_270	34009	34400	391
comp17283_c0_seq2_m.17571	scaffold_2700	68	2636	2568
comp16069_c0_seq1_m.32801	scaffold_2700	7428	8036	608
comp18259_c0_seq1_m.16281	scaffold_2702	1195	3375	2180
comp13769_c0_seq1_m.7108	scaffold_2703	1314	3811	2497
comp12147_c0_seq1_m.5957	scaffold_2705	1280	3539	2259
comp18400_c0_seq1_m.18452	scaffold_2706	1	1093	1092
comp48580_c0_seq1_m.11527	scaffold_2707	12021	15075	3054
comp6988_c0_seq1_m.16425	scaffold_2707	22045	23839	1794
comp13644_c0_seq1_m.7024	scaffold_2708	9	2151	2142
comp14736_c0_seq1_m.7792	scaffold_2709	82	3025	2943
comp18832_c0_seq5_m.24820	scaffold_2709	3869	11375	7506
comp16512_c0_seq2_m.20850	scaffold_271	2629	3227	598
comp17192_c0_seq1_m.29074	scaffold_271	3444	3623	179
comp13560_c0_seq1_m.16812	scaffold_2710	46	1422	1376
comp15653_c0_seq1_m.8449	scaffold_2711	790	18528	17738
comp16674_c0_seq1_m.9105	scaffold_2712	1093	10446	9353
comp14389_c0_seq1_m.26773	scaffold_2712	14865	16716	1851
comp10941_c0_seq1_m.5130	scaffold_2714	11084	17143	6059
comp12933_c0_seq1_m.30902	scaffold_2715	1648	8777	7129
comp17638_c0_seq1_m.9672	scaffold_2716	972	6946	5974
comp18459_c0_seq2_m.36755	scaffold_2716	20128	20808	680
comp13978_c0_seq1_m.7249	scaffold_2719	87	2079	1992
comp16740_c0_seq1_m.15357	scaffold_272	61	9784	9723
comp14808_c0_seq1_m.7833	scaffold_2720	1352	6607	5255
comp14739_c0_seq1_m.7794	scaffold_2721	5204	5781	577
comp117757_c0_seq1_m.13355	scaffold_2721	6820	12957	6137
comp95328_c0_seq1_m.12718	scaffold_2721	13072	14110	1038
comp18379_c0_seq1_m.21430	scaffold_2722	139	1673	1534
comp19745_c0_seq1_m.10562	scaffold_2724	3307	5297	1990
comp19745_c0_seq1_m.10564	scaffold_2724	6435	6734	299
comp144293_c0_seq1_m.13979	scaffold_2726	5963	6233	270
