an_hu	gene
Mannua_Huetti.3494.nuc comp15456_c0_seq1_m.8299
Mannua_Huetti.3495.nuc comp15457_c0_seq1_m.23655
Mannua_Huetti.3496.nuc comp15458_c0_seq1_m.8300
Mannua_Huetti.3497.nuc comp15459_c0_seq1_m.8301
Mannua_Huetti.3498.nuc comp15460_c0_seq1_m.8302
Mannua_Huetti.3499.nuc comp15461_c0_seq1_m.8304
Mannua_Huetti.35.nuc comp10066_c0_seq1_m.4537
Mannua_Huetti.350.nuc comp10690_c0_seq1_m.4964
Mannua_Huetti.3500.nuc comp15462_c0_seq1_m.8305
Mannua_Huetti.3501.nuc comp15464_c0_seq1_m.8310
Mannua_Huetti.3502.nuc comp15465_c0_seq1_m.26119
Mannua_Huetti.3503.nuc comp15466_c0_seq1_m.35771
Mannua_Huetti.3504.nuc comp15467_c0_seq1_m.23321
Mannua_Huetti.3505.nuc comp15469_c0_seq1_m.8314
Mannua_Huetti.3506.nuc comp15470_c0_seq1_m.17600
Mannua_Huetti.3507.nuc comp15471_c0_seq1_m.8316
Mannua_Huetti.3508.nuc comp15473_c0_seq1_m.8317
Mannua_Huetti.3509.nuc comp15475_c0_seq1_m.8319
Mannua_Huetti.351.nuc comp10690_c0_seq1_m.4965
Mannua_Huetti.3510.nuc comp15476_c0_seq1_m.8320
Mannua_Huetti.3511.nuc comp15477_c0_seq4_m.34467
Mannua_Huetti.3512.nuc comp15478_c0_seq1_m.8321
Mannua_Huetti.3513.nuc comp15479_c0_seq1_m.21869
Mannua_Huetti.3514.nuc comp15480_c0_seq1_m.8322
Mannua_Huetti.3515.nuc comp15481_c0_seq1_m.8324
Mannua_Huetti.3516.nuc comp15482_c0_seq1_m.38239
Mannua_Huetti.3517.nuc comp15483_c0_seq1_m.8325
Mannua_Huetti.3518.nuc comp15484_c0_seq1_m.8326
Mannua_Huetti.3519.nuc comp15485_c0_seq1_m.8327
Mannua_Huetti.352.nuc comp10691_c0_seq1_m.16000
Mannua_Huetti.3520.nuc comp15486_c0_seq1_m.8329
Mannua_Huetti.3521.nuc comp15487_c0_seq1_m.33334
Mannua_Huetti.3522.nuc comp15488_c0_seq1_m.27328
Mannua_Huetti.3523.nuc comp15489_c0_seq1_m.8330
Mannua_Huetti.3524.nuc comp15491_c0_seq1_m.8331
Mannua_Huetti.3525.nuc comp15493_c0_seq1_m.19075
Mannua_Huetti.3526.nuc comp15494_c0_seq8_m.16953
Mannua_Huetti.3527.nuc comp15495_c0_seq1_m.8333
Mannua_Huetti.3528.nuc comp15496_c0_seq1_m.36333
Mannua_Huetti.3529.nuc comp15497_c0_seq1_m.8334
Mannua_Huetti.353.nuc comp10695_c0_seq1_m.4967
Mannua_Huetti.3530.nuc comp15499_c0_seq1_m.32429
Mannua_Huetti.3531.nuc comp15501_c0_seq1_m.22518
Mannua_Huetti.3532.nuc comp15502_c0_seq1_m.8336
Mannua_Huetti.3533.nuc comp15503_c0_seq1_m.33773
Mannua_Huetti.3534.nuc comp15504_c0_seq1_m.34486
Mannua_Huetti.3535.nuc comp15505_c0_seq1_m.34307
Mannua_Huetti.3536.nuc comp15506_c0_seq1_m.8337
Mannua_Huetti.3537.nuc comp15507_c0_seq1_m.8338
Mannua_Huetti.3538.nuc comp15509_c0_seq1_m.18345
Mannua_Huetti.3539.nuc comp15510_c0_seq2_m.23712
Mannua_Huetti.354.nuc comp10697_c0_seq2_m.25086
Mannua_Huetti.3540.nuc comp15511_c0_seq1_m.8339
Mannua_Huetti.3541.nuc comp15512_c0_seq1_m.21859
Mannua_Huetti.3542.nuc comp15514_c0_seq1_m.30109
Mannua_Huetti.3543.nuc comp15515_c0_seq1_m.8342
Mannua_Huetti.3544.nuc comp15516_c0_seq3_m.21710
Mannua_Huetti.3545.nuc comp15517_c0_seq1_m.8344
Mannua_Huetti.3546.nuc comp15518_c0_seq2_m.36646
Mannua_Huetti.3547.nuc comp15520_c0_seq4_m.17786
Mannua_Huetti.3548.nuc comp15521_c0_seq1_m.35907
Mannua_Huetti.3549.nuc comp15523_c0_seq1_m.8348
Mannua_Huetti.355.nuc comp10698_c0_seq1_m.4969
Mannua_Huetti.3550.nuc comp15524_c0_seq1_m.8349
Mannua_Huetti.3551.nuc comp15525_c0_seq2_m.27734
Mannua_Huetti.3552.nuc comp15528_c0_seq1_m.8355
Mannua_Huetti.3553.nuc comp15529_c0_seq24_m.15793
Mannua_Huetti.3554.nuc comp15530_c0_seq1_m.20716
Mannua_Huetti.3555.nuc comp15531_c0_seq1_m.16467
Mannua_Huetti.3556.nuc comp15533_c0_seq1_m.32435
Mannua_Huetti.3557.nuc comp15534_c0_seq1_m.35886
Mannua_Huetti.3558.nuc comp15535_c0_seq1_m.8358
Mannua_Huetti.3559.nuc comp15536_c0_seq1_m.34733
Mannua_Huetti.356.nuc comp10699_c0_seq1_m.4970
Mannua_Huetti.3560.nuc comp15537_c0_seq1_m.36703
Mannua_Huetti.3561.nuc comp15538_c0_seq1_m.34579
Mannua_Huetti.3562.nuc comp15538_c1_seq1_m.34580
Mannua_Huetti.3563.nuc comp15539_c0_seq1_m.15997
Mannua_Huetti.3564.nuc comp15541_c0_seq1_m.25283
Mannua_Huetti.3565.nuc comp15542_c0_seq1_m.8359
Mannua_Huetti.3566.nuc comp15543_c0_seq1_m.8361
Mannua_Huetti.3567.nuc comp15544_c0_seq1_m.8363
Mannua_Huetti.3568.nuc comp15545_c0_seq1_m.8365
Mannua_Huetti.3569.nuc comp15546_c0_seq1_m.8366
Mannua_Huetti.357.nuc comp10700_c0_seq1_m.4971
Mannua_Huetti.3570.nuc comp15548_c0_seq1_m.8368
Mannua_Huetti.3571.nuc comp15549_c0_seq1_m.8370
Mannua_Huetti.3572.nuc comp15550_c0_seq1_m.15812
Mannua_Huetti.3573.nuc comp15552_c0_seq1_m.8371
Mannua_Huetti.3574.nuc comp15553_c0_seq1_m.8372
Mannua_Huetti.3575.nuc comp15554_c0_seq1_m.32789
Mannua_Huetti.3576.nuc comp15555_c0_seq1_m.8373
Mannua_Huetti.3577.nuc comp15556_c0_seq1_m.33983
Mannua_Huetti.3578.nuc comp15557_c0_seq1_m.26873
Mannua_Huetti.3579.nuc comp15558_c0_seq1_m.8374
Mannua_Huetti.358.nuc comp10701_c0_seq1_m.29611
Mannua_Huetti.3580.nuc comp15559_c0_seq1_m.17807
Mannua_Huetti.3581.nuc comp15560_c0_seq1_m.19846
Mannua_Huetti.3582.nuc comp15561_c0_seq1_m.24295
Mannua_Huetti.3583.nuc comp15562_c0_seq1_m.8377
Mannua_Huetti.3584.nuc comp15564_c0_seq1_m.8381
Mannua_Huetti.3585.nuc comp15566_c0_seq1_m.8384
Mannua_Huetti.3586.nuc comp15567_c0_seq1_m.8385
Mannua_Huetti.3587.nuc comp15568_c0_seq1_m.27643
Mannua_Huetti.3588.nuc comp15570_c0_seq1_m.38579
Mannua_Huetti.3589.nuc comp15571_c0_seq1_m.8387
Mannua_Huetti.359.nuc comp10702_c0_seq1_m.4972
Mannua_Huetti.3590.nuc comp15572_c0_seq1_m.8388
Mannua_Huetti.3591.nuc comp15574_c0_seq1_m.32657
Mannua_Huetti.3592.nuc comp15575_c0_seq1_m.19529
Mannua_Huetti.3593.nuc comp15576_c0_seq1_m.16027
Mannua_Huetti.3594.nuc comp15576_c0_seq3_m.16026
Mannua_Huetti.3595.nuc comp15577_c0_seq1_m.8389
Mannua_Huetti.3596.nuc comp15578_c0_seq1_m.27318
Mannua_Huetti.3597.nuc comp15580_c0_seq1_m.26399
Mannua_Huetti.3598.nuc comp15582_c0_seq1_m.35826
Mannua_Huetti.3599.nuc comp15583_c0_seq1_m.8395
Mannua_Huetti.36.nuc comp10067_c0_seq1_m.4538
Mannua_Huetti.360.nuc comp10703_c0_seq1_m.4973
Mannua_Huetti.3600.nuc comp15584_c0_seq1_m.8397
Mannua_Huetti.3601.nuc comp15585_c0_seq1_m.8398
Mannua_Huetti.3602.nuc comp15586_c0_seq1_m.8400
Mannua_Huetti.3603.nuc comp15587_c0_seq1_m.19531
Mannua_Huetti.3604.nuc comp15589_c0_seq1_m.33331
Mannua_Huetti.3605.nuc comp15590_c0_seq1_m.8401
Mannua_Huetti.3606.nuc comp15592_c0_seq1_m.8404
Mannua_Huetti.3607.nuc comp15594_c0_seq1_m.8405
Mannua_Huetti.3608.nuc comp15595_c0_seq1_m.28435
Mannua_Huetti.3609.nuc comp15596_c0_seq1_m.8406
Mannua_Huetti.361.nuc comp10707_c0_seq1_m.4976
Mannua_Huetti.3610.nuc comp15597_c0_seq1_m.8407
Mannua_Huetti.3611.nuc comp15598_c0_seq1_m.8408
Mannua_Huetti.3612.nuc comp15599_c0_seq1_m.8409
Mannua_Huetti.3613.nuc comp15600_c0_seq1_m.8412
Mannua_Huetti.3614.nuc comp15601_c0_seq1_m.8413
Mannua_Huetti.3615.nuc comp15602_c0_seq1_m.8414
Mannua_Huetti.3616.nuc comp15603_c0_seq1_m.8416
Mannua_Huetti.3617.nuc comp15604_c0_seq1_m.8417
Mannua_Huetti.3618.nuc comp15605_c0_seq1_m.8419
Mannua_Huetti.3619.nuc comp15609_c0_seq1_m.17932
Mannua_Huetti.362.nuc comp10709_c0_seq1_m.4978
Mannua_Huetti.3620.nuc comp15611_c0_seq1_m.8421
Mannua_Huetti.3621.nuc comp15613_c0_seq1_m.35494
Mannua_Huetti.3622.nuc comp15615_c1_seq4_m.20061
Mannua_Huetti.3623.nuc comp15616_c0_seq1_m.21560
Mannua_Huetti.3624.nuc comp15617_c0_seq1_m.8424
Mannua_Huetti.3625.nuc comp15618_c0_seq1_m.19516
Mannua_Huetti.3626.nuc comp15621_c0_seq1_m.27028
Mannua_Huetti.3627.nuc comp15622_c0_seq2_m.21640
Mannua_Huetti.3628.nuc comp15624_c0_seq1_m.8427
Mannua_Huetti.3629.nuc comp15625_c0_seq1_m.8429
Mannua_Huetti.363.nuc comp10711_c0_seq1_m.4979
Mannua_Huetti.3630.nuc comp15626_c0_seq1_m.8430
Mannua_Huetti.3631.nuc comp15627_c0_seq1_m.16433
Mannua_Huetti.3632.nuc comp15628_c0_seq1_m.8431
Mannua_Huetti.3633.nuc comp15629_c0_seq1_m.8432
Mannua_Huetti.3634.nuc comp15630_c0_seq1_m.8434
Mannua_Huetti.3635.nuc comp15631_c0_seq1_m.8438
Mannua_Huetti.3636.nuc comp15632_c0_seq1_m.8439
Mannua_Huetti.3637.nuc comp15634_c0_seq2_m.25466
Mannua_Huetti.3638.nuc comp15635_c0_seq1_m.35463
Mannua_Huetti.3639.nuc comp15636_c0_seq1_m.32532
Mannua_Huetti.364.nuc comp10712_c0_seq1_m.4980
Mannua_Huetti.3640.nuc comp15639_c0_seq1_m.8440
Mannua_Huetti.3641.nuc comp15640_c0_seq12_m.30157
Mannua_Huetti.3642.nuc comp15641_c0_seq1_m.23408
Mannua_Huetti.3643.nuc comp15642_c0_seq1_m.8441
Mannua_Huetti.3644.nuc comp15643_c0_seq1_m.8443
Mannua_Huetti.3645.nuc comp15644_c0_seq1_m.8445
Mannua_Huetti.3646.nuc comp15646_c0_seq1_m.8446
Mannua_Huetti.3647.nuc comp15647_c0_seq1_m.8447
Mannua_Huetti.3648.nuc comp15648_c0_seq1_m.32769
Mannua_Huetti.3649.nuc comp15650_c0_seq1_m.16336
Mannua_Huetti.365.nuc comp10713_c0_seq1_m.31643
Mannua_Huetti.3650.nuc comp15652_c0_seq1_m.8448
Mannua_Huetti.3651.nuc comp15653_c0_seq1_m.8449
Mannua_Huetti.3652.nuc comp15656_c0_seq1_m.8451
Mannua_Huetti.3653.nuc comp15657_c0_seq1_m.8452
Mannua_Huetti.3654.nuc comp15658_c0_seq1_m.8453
Mannua_Huetti.3655.nuc comp15659_c1_seq1_m.23344
Mannua_Huetti.3656.nuc comp15660_c0_seq1_m.8455
Mannua_Huetti.3657.nuc comp15661_c0_seq1_m.8456
Mannua_Huetti.3658.nuc comp15662_c0_seq1_m.8457
Mannua_Huetti.3659.nuc comp15663_c0_seq1_m.8458
Mannua_Huetti.366.nuc comp10714_c0_seq1_m.4981
Mannua_Huetti.3660.nuc comp15665_c0_seq3_m.17578
Mannua_Huetti.3661.nuc comp15666_c0_seq1_m.8459
Mannua_Huetti.3662.nuc comp15668_c0_seq1_m.8462
Mannua_Huetti.3663.nuc comp15669_c0_seq1_m.8464
Mannua_Huetti.3664.nuc comp15671_c0_seq1_m.8465
Mannua_Huetti.3665.nuc comp15672_c0_seq1_m.36697
Mannua_Huetti.3666.nuc comp15672_c0_seq5_m.36701
Mannua_Huetti.3667.nuc comp15673_c0_seq1_m.8466
Mannua_Huetti.3668.nuc comp15674_c0_seq1_m.8468
Mannua_Huetti.3669.nuc comp15678_c0_seq1_m.30458
Mannua_Huetti.367.nuc comp10716_c0_seq1_m.38318
Mannua_Huetti.3670.nuc comp15679_c0_seq1_m.18783
Mannua_Huetti.3671.nuc comp15680_c0_seq1_m.8470
Mannua_Huetti.3672.nuc comp15681_c0_seq1_m.8471
Mannua_Huetti.3673.nuc comp15683_c0_seq1_m.8472
Mannua_Huetti.3674.nuc comp15684_c0_seq1_m.8474
Mannua_Huetti.3675.nuc comp15685_c0_seq1_m.8475
Mannua_Huetti.3676.nuc comp15688_c0_seq1_m.24209
Mannua_Huetti.3677.nuc comp15689_c0_seq2_m.37529
Mannua_Huetti.3678.nuc comp15690_c0_seq2_m.36434
Mannua_Huetti.3679.nuc comp15693_c0_seq1_m.21593
Mannua_Huetti.368.nuc comp10717_c0_seq1_m.21134
Mannua_Huetti.3680.nuc comp15694_c0_seq1_m.8478
Mannua_Huetti.3681.nuc comp15696_c0_seq1_m.8481
Mannua_Huetti.3682.nuc comp15698_c0_seq1_m.8483
Mannua_Huetti.3683.nuc comp15699_c1_seq1_m.16083
Mannua_Huetti.3684.nuc comp15700_c0_seq1_m.20157
Mannua_Huetti.3685.nuc comp15701_c1_seq3_m.25326
Mannua_Huetti.3686.nuc comp15702_c0_seq1_m.8484
Mannua_Huetti.3687.nuc comp15703_c0_seq1_m.26711
Mannua_Huetti.3688.nuc comp15704_c0_seq1_m.8486
Mannua_Huetti.3689.nuc comp15705_c0_seq1_m.33088
Mannua_Huetti.369.nuc comp10719_c0_seq3_m.24357
Mannua_Huetti.3690.nuc comp15707_c0_seq1_m.19517
Mannua_Huetti.3691.nuc comp15708_c0_seq1_m.8487
Mannua_Huetti.3692.nuc comp15709_c0_seq1_m.8489
Mannua_Huetti.3693.nuc comp15710_c0_seq1_m.32700
Mannua_Huetti.3694.nuc comp15711_c0_seq1_m.8490
Mannua_Huetti.3695.nuc comp15712_c0_seq1_m.29005
Mannua_Huetti.3696.nuc comp15714_c1_seq1_m.22463
Mannua_Huetti.3697.nuc comp15715_c0_seq1_m.8492
Mannua_Huetti.3698.nuc comp15717_c0_seq1_m.25457
Mannua_Huetti.3699.nuc comp15717_c0_seq1_m.25458
Mannua_Huetti.37.nuc comp10070_c0_seq1_m.38542
Mannua_Huetti.370.nuc comp10721_c0_seq1_m.33360
Mannua_Huetti.3700.nuc comp15719_c0_seq1_m.8493
Mannua_Huetti.3701.nuc comp15722_c0_seq1_m.8495
Mannua_Huetti.3702.nuc comp15723_c0_seq1_m.8496
Mannua_Huetti.3703.nuc comp15725_c0_seq1_m.8497
Mannua_Huetti.3704.nuc comp15727_c0_seq1_m.22453
Mannua_Huetti.3705.nuc comp15728_c0_seq1_m.8499
Mannua_Huetti.3706.nuc comp15729_c0_seq1_m.17397
Mannua_Huetti.3707.nuc comp15731_c0_seq1_m.8500
Mannua_Huetti.3708.nuc comp15732_c0_seq1_m.8501
Mannua_Huetti.3709.nuc comp15735_c0_seq1_m.8503
Mannua_Huetti.371.nuc comp10725_c0_seq1_m.4986
Mannua_Huetti.3710.nuc comp15740_c0_seq1_m.8505
Mannua_Huetti.3711.nuc comp15741_c0_seq1_m.8506
Mannua_Huetti.3712.nuc comp15742_c0_seq1_m.8507
Mannua_Huetti.3713.nuc comp15744_c0_seq1_m.28429
Mannua_Huetti.3714.nuc comp15746_c0_seq1_m.27688
Mannua_Huetti.3715.nuc comp15747_c0_seq1_m.8509
Mannua_Huetti.3716.nuc comp15748_c0_seq1_m.8511
Mannua_Huetti.3717.nuc comp15749_c0_seq2_m.19620
Mannua_Huetti.3718.nuc comp15751_c0_seq1_m.8512
Mannua_Huetti.3719.nuc comp15752_c0_seq1_m.8513
Mannua_Huetti.372.nuc comp10727_c0_seq2_m.36135
Mannua_Huetti.3720.nuc comp15753_c0_seq1_m.8514
Mannua_Huetti.3721.nuc comp15755_c0_seq2_m.15370
Mannua_Huetti.3722.nuc comp15756_c0_seq1_m.34078
Mannua_Huetti.3723.nuc comp15757_c0_seq1_m.8517
Mannua_Huetti.3724.nuc comp15758_c0_seq1_m.18385
Mannua_Huetti.3725.nuc comp15760_c0_seq1_m.20649
Mannua_Huetti.3726.nuc comp15762_c0_seq1_m.18474
Mannua_Huetti.3727.nuc comp15763_c0_seq1_m.8519
Mannua_Huetti.3728.nuc comp15764_c0_seq1_m.32604
Mannua_Huetti.3729.nuc comp15765_c0_seq3_m.34192
Mannua_Huetti.373.nuc comp10728_c0_seq1_m.4988
Mannua_Huetti.3730.nuc comp15767_c0_seq1_m.8520
Mannua_Huetti.3731.nuc comp15770_c0_seq1_m.22834
Mannua_Huetti.3732.nuc comp15771_c0_seq1_m.31518
Mannua_Huetti.3733.nuc comp15772_c0_seq1_m.21342
Mannua_Huetti.3734.nuc comp15773_c0_seq1_m.32383
Mannua_Huetti.3735.nuc comp15774_c0_seq1_m.8522
Mannua_Huetti.3736.nuc comp15776_c0_seq1_m.23808
Mannua_Huetti.3737.nuc comp15777_c0_seq1_m.8524
Mannua_Huetti.3738.nuc comp15778_c0_seq1_m.8525
Mannua_Huetti.3739.nuc comp15779_c0_seq9_m.33922
Mannua_Huetti.374.nuc comp10732_c0_seq1_m.4989
Mannua_Huetti.3740.nuc comp15780_c0_seq1_m.8526
Mannua_Huetti.3741.nuc comp15781_c0_seq1_m.8527
Mannua_Huetti.3742.nuc comp15783_c0_seq3_m.23164
Mannua_Huetti.3743.nuc comp15784_c0_seq1_m.8528
Mannua_Huetti.3744.nuc comp15786_c0_seq2_m.30271
Mannua_Huetti.3745.nuc comp15787_c0_seq1_m.18824
Mannua_Huetti.3746.nuc comp15789_c0_seq1_m.21038
Mannua_Huetti.3747.nuc comp15790_c0_seq1_m.36358
Mannua_Huetti.3748.nuc comp15791_c0_seq1_m.8529
Mannua_Huetti.3749.nuc comp15793_c0_seq1_m.38576
Mannua_Huetti.375.nuc comp10734_c0_seq1_m.36761
Mannua_Huetti.3750.nuc comp15794_c0_seq3_m.29240
Mannua_Huetti.3751.nuc comp15795_c0_seq1_m.8536
Mannua_Huetti.3752.nuc comp15797_c0_seq1_m.8539
Mannua_Huetti.3753.nuc comp15798_c0_seq1_m.8540
Mannua_Huetti.3754.nuc comp15802_c0_seq1_m.36766
Mannua_Huetti.3755.nuc comp15802_c0_seq1_m.36767
Mannua_Huetti.3756.nuc comp15803_c0_seq1_m.26071
Mannua_Huetti.3757.nuc comp15804_c0_seq1_m.8545
Mannua_Huetti.3758.nuc comp15805_c0_seq1_m.30389
Mannua_Huetti.3759.nuc comp15806_c0_seq1_m.18587
Mannua_Huetti.376.nuc comp10735_c0_seq1_m.18387
Mannua_Huetti.3760.nuc comp15807_c0_seq1_m.8547
Mannua_Huetti.3761.nuc comp15808_c0_seq1_m.23146
Mannua_Huetti.3762.nuc comp15810_c0_seq1_m.28944
Mannua_Huetti.3763.nuc comp15812_c0_seq1_m.8549
Mannua_Huetti.3764.nuc comp15813_c0_seq1_m.8551
Mannua_Huetti.3765.nuc comp15814_c0_seq3_m.27935
Mannua_Huetti.3766.nuc comp15815_c0_seq1_m.36847
Mannua_Huetti.3767.nuc comp15816_c1_seq1_m.35320
Mannua_Huetti.3768.nuc comp15817_c1_seq1_m.36587
Mannua_Huetti.3769.nuc comp15818_c0_seq1_m.24435
Mannua_Huetti.377.nuc comp10737_c0_seq1_m.26705
Mannua_Huetti.3770.nuc comp15819_c0_seq1_m.8552
Mannua_Huetti.3771.nuc comp15820_c0_seq1_m.17923
Mannua_Huetti.3772.nuc comp15820_c0_seq1_m.17924
Mannua_Huetti.3773.nuc comp15821_c0_seq1_m.8554
Mannua_Huetti.3774.nuc comp15822_c1_seq1_m.34766
Mannua_Huetti.3775.nuc comp15822_c2_seq1_m.34768
Mannua_Huetti.3776.nuc comp15824_c0_seq3_m.30893
Mannua_Huetti.3777.nuc comp15825_c0_seq1_m.15346
Mannua_Huetti.3778.nuc comp15825_c0_seq2_m.15347
Mannua_Huetti.3779.nuc comp15827_c0_seq1_m.8555
Mannua_Huetti.378.nuc comp1073_c0_seq1_m.289
Mannua_Huetti.3780.nuc comp15828_c0_seq1_m.36269
Mannua_Huetti.3781.nuc comp15830_c0_seq1_m.8556
Mannua_Huetti.3782.nuc comp15831_c0_seq2_m.23140
Mannua_Huetti.3783.nuc comp15833_c0_seq1_m.31137
Mannua_Huetti.3784.nuc comp15834_c0_seq3_m.17737
Mannua_Huetti.3785.nuc comp15835_c0_seq1_m.29485
Mannua_Huetti.3786.nuc comp15838_c0_seq2_m.38756
Mannua_Huetti.3787.nuc comp15840_c0_seq1_m.30426
Mannua_Huetti.3788.nuc comp15842_c0_seq1_m.38800
Mannua_Huetti.3789.nuc comp15843_c1_seq10_m.39133
Mannua_Huetti.379.nuc comp10740_c0_seq1_m.4993
Mannua_Huetti.3790.nuc comp15843_c1_seq12_m.39134
Mannua_Huetti.3791.nuc comp15843_c1_seq13_m.39135
Mannua_Huetti.3792.nuc comp15843_c1_seq3_m.39122
Mannua_Huetti.3793.nuc comp15843_c1_seq4_m.39123
Mannua_Huetti.3794.nuc comp15844_c0_seq1_m.30233
Mannua_Huetti.3795.nuc comp15846_c0_seq2_m.18763
Mannua_Huetti.3796.nuc comp15848_c0_seq1_m.8562
Mannua_Huetti.3797.nuc comp15850_c0_seq1_m.34888
Mannua_Huetti.3798.nuc comp15851_c0_seq1_m.31435
Mannua_Huetti.3799.nuc comp15852_c0_seq1_m.29934
Mannua_Huetti.38.nuc comp10071_c0_seq1_m.19809
Mannua_Huetti.380.nuc comp10741_c0_seq1_m.38758
Mannua_Huetti.3800.nuc comp15853_c0_seq1_m.19790
Mannua_Huetti.3801.nuc comp15854_c0_seq1_m.8566
Mannua_Huetti.3802.nuc comp15855_c0_seq2_m.21036
Mannua_Huetti.3803.nuc comp15856_c0_seq1_m.8567
Mannua_Huetti.3804.nuc comp15859_c0_seq1_m.23983
Mannua_Huetti.3805.nuc comp1585_c0_seq1_m.387
Mannua_Huetti.3806.nuc comp15861_c0_seq6_m.29404
Mannua_Huetti.3807.nuc comp15862_c0_seq1_m.8569
Mannua_Huetti.3808.nuc comp15863_c0_seq1_m.8570
Mannua_Huetti.3809.nuc comp15864_c0_seq1_m.8573
Mannua_Huetti.381.nuc comp10743_c0_seq1_m.4995
Mannua_Huetti.3810.nuc comp15865_c0_seq1_m.8574
Mannua_Huetti.3811.nuc comp15866_c0_seq1_m.8575
Mannua_Huetti.3812.nuc comp15867_c0_seq3_m.16206
Mannua_Huetti.3813.nuc comp15868_c0_seq1_m.38748
Mannua_Huetti.3814.nuc comp15869_c0_seq2_m.39171
Mannua_Huetti.3815.nuc comp15870_c0_seq1_m.8576
Mannua_Huetti.3816.nuc comp15871_c0_seq1_m.15562
Mannua_Huetti.3817.nuc comp15872_c0_seq1_m.18516
Mannua_Huetti.3818.nuc comp15873_c0_seq1_m.8579
Mannua_Huetti.3819.nuc comp15874_c0_seq1_m.8580
Mannua_Huetti.382.nuc comp10744_c0_seq1_m.4996
Mannua_Huetti.3820.nuc comp15875_c0_seq1_m.31940
Mannua_Huetti.3821.nuc comp15879_c0_seq1_m.15877
Mannua_Huetti.3822.nuc comp15880_c0_seq1_m.8581
Mannua_Huetti.3823.nuc comp15882_c0_seq1_m.8583
Mannua_Huetti.3824.nuc comp15883_c0_seq1_m.33784
Mannua_Huetti.3825.nuc comp15884_c0_seq1_m.8584
Mannua_Huetti.3826.nuc comp15886_c0_seq1_m.24630
Mannua_Huetti.3827.nuc comp15887_c0_seq2_m.24983
Mannua_Huetti.3828.nuc comp15889_c0_seq1_m.8585
Mannua_Huetti.3829.nuc comp15890_c0_seq1_m.22764
Mannua_Huetti.383.nuc comp10745_c0_seq1_m.4997
Mannua_Huetti.3830.nuc comp15891_c0_seq1_m.36762
Mannua_Huetti.3831.nuc comp15892_c0_seq1_m.8586
Mannua_Huetti.3832.nuc comp15893_c0_seq1_m.8587
Mannua_Huetti.3833.nuc comp15894_c0_seq1_m.17429
Mannua_Huetti.3834.nuc comp15895_c0_seq1_m.33431
Mannua_Huetti.3835.nuc comp15897_c0_seq1_m.31944
Mannua_Huetti.3836.nuc comp15898_c0_seq1_m.8591
Mannua_Huetti.3837.nuc comp15899_c0_seq1_m.8593
Mannua_Huetti.3838.nuc comp15900_c0_seq1_m.16673
Mannua_Huetti.3839.nuc comp15901_c0_seq2_m.23414
Mannua_Huetti.384.nuc comp10747_c0_seq1_m.4999
Mannua_Huetti.3840.nuc comp15903_c0_seq1_m.8594
Mannua_Huetti.3841.nuc comp15905_c0_seq1_m.33386
Mannua_Huetti.3842.nuc comp15906_c0_seq1_m.18048
Mannua_Huetti.3843.nuc comp15907_c0_seq1_m.8595
Mannua_Huetti.3844.nuc comp15910_c0_seq1_m.8596
Mannua_Huetti.3845.nuc comp15911_c0_seq1_m.37187
Mannua_Huetti.3846.nuc comp15912_c0_seq1_m.37823
Mannua_Huetti.3847.nuc comp15913_c0_seq1_m.8597
Mannua_Huetti.3848.nuc comp15914_c0_seq1_m.25998
Mannua_Huetti.3849.nuc comp15915_c0_seq1_m.8599
Mannua_Huetti.385.nuc comp10748_c0_seq1_m.5000
Mannua_Huetti.3850.nuc comp15916_c0_seq1_m.8601
Mannua_Huetti.3851.nuc comp15917_c0_seq1_m.8603
Mannua_Huetti.3852.nuc comp15919_c0_seq1_m.8604
Mannua_Huetti.3853.nuc comp15920_c0_seq1_m.8606
Mannua_Huetti.3854.nuc comp15921_c0_seq1_m.8607
Mannua_Huetti.3855.nuc comp15922_c0_seq1_m.25066
Mannua_Huetti.3856.nuc comp15924_c0_seq1_m.8611
Mannua_Huetti.3857.nuc comp15929_c0_seq1_m.34632
Mannua_Huetti.3858.nuc comp15929_c0_seq2_m.34635
Mannua_Huetti.3859.nuc comp15931_c0_seq1_m.18849
Mannua_Huetti.386.nuc comp10749_c0_seq1_m.38913
Mannua_Huetti.3860.nuc comp15932_c0_seq1_m.8612
Mannua_Huetti.3861.nuc comp15933_c0_seq1_m.37463
Mannua_Huetti.3862.nuc comp15934_c0_seq1_m.31216
Mannua_Huetti.3863.nuc comp15935_c0_seq1_m.8613
Mannua_Huetti.3864.nuc comp15937_c0_seq2_m.17255
Mannua_Huetti.3865.nuc comp15938_c0_seq1_m.8615
Mannua_Huetti.3866.nuc comp15939_c0_seq1_m.8617
Mannua_Huetti.3867.nuc comp1593_c0_seq1_m.393
Mannua_Huetti.3868.nuc comp15940_c0_seq3_m.21041
Mannua_Huetti.3869.nuc comp15941_c0_seq1_m.8618
Mannua_Huetti.387.nuc comp10754_c0_seq4_m.37762
Mannua_Huetti.3870.nuc comp15943_c0_seq1_m.8619
Mannua_Huetti.3871.nuc comp15943_c0_seq1_m.8621
Mannua_Huetti.3872.nuc comp15944_c0_seq1_m.8623
Mannua_Huetti.3873.nuc comp15946_c0_seq1_m.8625
Mannua_Huetti.3874.nuc comp15947_c0_seq1_m.36705
Mannua_Huetti.3875.nuc comp15949_c0_seq1_m.8627
Mannua_Huetti.3876.nuc comp15950_c0_seq1_m.21972
