CHROM	sites	length	PI
comp111901_c0_seq1_m.13160	1	450	0.00222222222222222
comp11190_c0_seq2_m.33397	0	411	0
comp111916_c0_seq1_m.13161	8	789	0.0101394169835234
comp11191_c0_seq1_m.5290	1	756	0.00132275132275132
comp11192_c1_seq3_m.15263	3	1626	0.0018450184501845
comp111935_c0_seq1_m.13163	1	414	0.00241545893719807
comp11193_c0_seq1_m.5291	0	789	0
comp11194_c0_seq1_m.5292	3	1242	0.00241545893719807
comp11195_c0_seq1_m.29322	7	363	0.0192837465564738
comp111964_c0_seq1_m.13164	0	537	0
comp111967_c0_seq1_m.13165	0	705	0
comp11196_c0_seq1_m.5293	0	918	0
comp11197_c0_seq1_m.5294	3	900	0.00333333333333333
comp11197_c0_seq1_m.5295	2	330	0.00606060606060606
comp11198_c0_seq1_m.5296	4	1116	0.003584229390681
comp11199_c0_seq1_m.5298	25	3216	0.00777363184079602
comp11199_c0_seq1_m.5299	4	450	0.00888888888888889
comp11201_c0_seq1_m.29938	5	702	0.00712250712250712
comp11201_c0_seq1_m.29939	1	384	0.00260416666666667
comp11202_c0_seq1_m.5300	23	861	0.0267131242740999
comp112032_c0_seq1_m.13167	1	441	0.00226757369614512
comp11203_c0_seq1_m.5301	3	789	0.00380228136882129
comp112046_c0_seq1_m.13170	0	1068	0
comp11205_c0_seq1_m.5302	0	900	0
comp112079_c0_seq1_m.13172	0	369	0
comp11207_c0_seq1_m.5303	0	642	0
comp112081_c0_seq1_m.13173	3	744	0.00403225806451613
comp11209_c0_seq1_m.5304	0	1884	0
comp11209_c0_seq1_m.5306	1	345	0.00289855072463768
comp11210_c1_seq1_m.34110	13	612	0.0212418300653595
comp11211_c0_seq3_m.33535	0	330	0
comp112121_c0_seq1_m.13177	2	741	0.00269905533063428
comp11212_c0_seq1_m.5307	3	726	0.00413223140495868
comp11213_c0_seq9_m.21027	1	408	0.00245098039215686
comp11214_c0_seq1_m.5308	2	570	0.00350877192982456
comp11215_c0_seq1_m.5309	10	786	0.0127226463104326
comp112169_c0_seq1_m.13180	0	438	0
comp11216_c0_seq1_m.5310	5	537	0.00931098696461825
comp11217_c0_seq1_m.5311	1	1407	0.000710732054015636
comp1121_c0_seq1_m.294	3	363	0.00826446280991736
comp112205_c0_seq1_m.13184	4	708	0.00564971751412429
comp11220_c0_seq1_m.5312	3	1059	0.0028328611898017
comp11221_c0_seq1_m.15243	2	726	0.00275482093663912
comp11222_c0_seq3_m.27335	35	1755	0.0199430199430199
comp11223_c0_seq3_m.33982	0	882	0
comp11224_c0_seq1_m.5314	14	897	0.0156075808249721
comp112257_c0_seq1_m.13185	0	513	0
comp11225_c0_seq1_m.25129	3	804	0.00373134328358209
comp112260_c0_seq1_m.13186	1	909	0.0011001100110011
comp112285_c0_seq1_m.13188	5	636	0.00786163522012579
comp11228_c0_seq1_m.25170	0	1038	0
comp112294_c0_seq1_m.13189	0	420	0
comp112307_c0_seq1_m.13190	0	336	0
comp11231_c0_seq1_m.5315	19	315	0.0603174603174603
comp112326_c0_seq1_m.13191	0	603	0
comp11235_c0_seq3_m.26039	5	1068	0.00468164794007491
comp11236_c0_seq1_m.5316	15	885	0.0169491525423729
comp112379_c0_seq1_m.13193	0	315	0
comp11237_c0_seq1_m.26631	2	654	0.00305810397553517
comp11238_c0_seq1_m.5317	1	1437	0.00069589422407794
comp11239_c0_seq1_m.5318	18	816	0.0220588235294118
comp1123_c0_seq1_m.295	1	348	0.0028735632183908
comp11241_c0_seq1_m.23971	0	1620	0
comp112439_c0_seq1_m.13195	4	1017	0.00393313667649951
comp11243_c0_seq1_m.5320	21	810	0.0259259259259259
comp112448_c0_seq1_m.13196	4	489	0.0081799591002045
comp11244_c0_seq1_m.24854	20	5199	0.00384689363339104
comp11245_c0_seq1_m.5321	9	1905	0.0047244094488189
comp112474_c0_seq1_m.13197	5	567	0.00881834215167548
comp11248_c0_seq1_m.5322	1	558	0.0017921146953405
comp112491_c0_seq1_m.13199	0	333	0
comp112499_c0_seq1_m.13200	0	408	0
comp11251_c0_seq1_m.33353	7	756	0.00925925925925926
comp11251_c0_seq1_m.33354	0	312	0
comp11252_c0_seq3_m.37196	0	4101	0
comp11253_c0_seq1_m.5325	2	627	0.00318979266347687
comp112557_c0_seq1_m.13205	0	366	0
comp11255_c0_seq1_m.5327	9	753	0.0119521912350598
comp112566_c0_seq1_m.13206	0	354	0
comp11259_c0_seq1_m.5329	0	714	0
comp11260_c0_seq1_m.37335	0	603	0
comp112613_c0_seq1_m.13207	1	516	0.00193798449612403
comp11261_c0_seq1_m.28663	1	1359	0.000735835172921266
comp11261_c0_seq3_m.28664	2	993	0.00201409869083585
comp112627_c0_seq1_m.13208	1	585	0.00170940170940171
comp11262_c0_seq5_m.35962	1	1197	0.000835421888053467
comp11263_c0_seq1_m.31128	6	1071	0.00560224089635854
comp11264_c0_seq1_m.18303	5	1722	0.00290360046457607
comp11265_c0_seq1_m.5330	2	414	0.00483091787439614
comp112686_c0_seq1_m.13210	0	330	0
comp11268_c0_seq1_m.5331	7	1470	0.00476190476190476
comp11269_c0_seq1_m.5332	21	1563	0.0134357005758157
comp112711_c0_seq1_m.13212	0	372	0
comp11271_c0_seq3_m.17375	6	939	0.00638977635782748
comp112727_c0_seq1_m.13213	0	321	0
comp11273_c0_seq1_m.23978	6	576	0.0104166666666667
comp11273_c1_seq1_m.23979	1	489	0.00204498977505112
comp11275_c0_seq1_m.36430	1	909	0.0011001100110011
comp112767_c0_seq1_m.13215	5	318	0.0157232704402516
comp11276_c0_seq1_m.17191	0	402	0
comp11277_c0_seq1_m.5335	3	762	0.00393700787401575
comp11277_c0_seq1_m.5336	3	393	0.00763358778625954
comp11278_c0_seq1_m.5337	9	1002	0.00898203592814371
comp11279_c0_seq1_m.5339	9	633	0.014218009478673
comp11280_c0_seq1_m.26527	6	906	0.00662251655629139
comp11282_c1_seq1_m.38735	0	1191	0
comp11284_c0_seq1_m.5341	1	498	0.00200803212851406
comp112852_c0_seq1_m.13218	3	333	0.00900900900900901
comp112857_c0_seq1_m.13221	2	765	0.00261437908496732
comp11286_c0_seq1_m.5342	1	498	0.00200803212851406
comp11287_c0_seq1_m.5343	0	762	0
comp11288_c0_seq1_m.5344	4	2211	0.00180913613749435
comp11290_c0_seq1_m.5345	39	1857	0.0210016155088853
comp112919_c0_seq1_m.13222	0	405	0
comp11291_c0_seq1_m.5346	1	462	0.00216450216450216
comp11292_c0_seq1_m.23507	6	957	0.00626959247648903
comp11292_c0_seq2_m.23509	9	636	0.0141509433962264
comp11293_c0_seq1_m.22987	4	2028	0.0019723865877712
comp112948_c0_seq1_m.13225	0	381	0
comp112949_c0_seq1_m.13226	21	723	0.029045643153527
comp11297_c0_seq1_m.5347	3	1071	0.00280112044817927
comp112986_c0_seq1_m.13228	20	450	0.0444444444444444
comp112987_c0_seq1_m.13229	0	300	0
comp11299_c2_seq1_m.25941	1	570	0.00175438596491228
comp11300_c0_seq1_m.5349	1	705	0.00141843971631206
comp11301_c0_seq1_m.5350	4	1899	0.00210637177461822
comp113030_c0_seq1_m.13231	0	447	0
comp113032_c0_seq1_m.13232	0	609	0
comp11303_c0_seq1_m.5352	8	420	0.019047619047619
comp113043_c0_seq1_m.13233	0	486	0
comp11304_c0_seq1_m.5353	1	1983	0.000504286434694907
comp11304_c0_seq1_m.5354	2	303	0.0066006600660066
comp11305_c0_seq1_m.5355	32	1239	0.0258272800645682
comp11306_c0_seq1_m.24440	1	9186	0.000108861310690181
comp11306_c1_seq1_m.24443	8	3822	0.00209314495028781
comp11306_c1_seq1_m.24444	3	633	0.004739336492891
comp11306_c1_seq1_m.24445	6	474	0.0126582278481013
comp113078_c0_seq1_m.13235	1	441	0.00226757369614512
comp11309_c0_seq1_m.5356	8	2280	0.00350877192982456
comp11310_c0_seq1_m.5358	1	342	0.00292397660818713
comp11311_c1_seq1_m.20410	0	387	0
comp11311_c1_seq1_m.20411	0	351	0
comp11311_c2_seq1_m.20412	9	726	0.012396694214876
comp11313_c0_seq1_m.23493	34	501	0.0678642714570858
comp11314_c0_seq1_m.18756	0	513	0
comp11314_c0_seq1_m.18757	3	351	0.00854700854700855
comp11314_c0_seq2_m.18758	3	456	0.00657894736842105
comp11314_c0_seq2_m.18759	1	429	0.00233100233100233
comp11315_c0_seq1_m.5359	2	330	0.00606060606060606
comp11316_c0_seq1_m.38736	2	909	0.0022002200220022
comp113184_c0_seq1_m.13237	0	366	0
comp11318_c0_seq1_m.5360	18	1458	0.0123456790123457
comp11320_c0_seq1_m.5361	27	1728	0.015625
comp11320_c0_seq1_m.5362	3	885	0.00338983050847458
comp11321_c0_seq3_m.25141	1	1494	0.000669344042838019
comp113221_c0_seq1_m.13238	1	576	0.00173611111111111
comp113226_c0_seq1_m.13239	2	489	0.00408997955010225
comp11322_c0_seq1_m.34639	2	2928	0.000683060109289617
comp11322_c0_seq3_m.34643	19	1281	0.014832162373146
comp11323_c0_seq1_m.5365	23	912	0.025219298245614
comp11324_c0_seq1_m.29900	0	789	0
comp11324_c0_seq2_m.29901	0	447	0
comp11325_c0_seq1_m.5367	6	954	0.00628930817610063
comp11326_c0_seq1_m.5368	19	1089	0.0174471992653811
comp11327_c0_seq2_m.30303	1	516	0.00193798449612403
comp113286_c0_seq1_m.13242	0	546	0
comp113289_c0_seq1_m.13243	1	465	0.0021505376344086
comp113310_c0_seq1_m.13245	1	345	0.00289855072463768
comp11332_c0_seq1_m.17867	4	525	0.00761904761904762
comp11333_c0_seq1_m.5370	4	1116	0.003584229390681
comp11334_c0_seq1_m.25778	1	3198	0.000312695434646654
comp11335_c0_seq1_m.5371	6	1695	0.00353982300884956
comp11336_c0_seq1_m.22551	0	585	0
comp11336_c0_seq1_m.22552	17	315	0.053968253968254
comp11337_c0_seq1_m.25933	3	1113	0.00269541778975741
comp11338_c0_seq1_m.5372	1	396	0.00252525252525253
comp11339_c0_seq1_m.5373	16	1698	0.0094228504122497
comp1133_c0_seq1_m.297	0	519	0
comp11340_c0_seq1_m.5374	0	1287	0
comp11342_c0_seq1_m.5375	12	531	0.0225988700564972
comp11342_c0_seq1_m.5376	1	348	0.0028735632183908
comp11346_c0_seq1_m.30671	1	1443	0.000693000693000693
comp11347_c0_seq1_m.5377	12	1695	0.00707964601769911
comp11349_c0_seq1_m.5378	0	540	0
comp11352_c0_seq1_m.5379	2	771	0.00259403372243839
comp11352_c0_seq1_m.5380	2	315	0.00634920634920635
comp11354_c0_seq1_m.25515	9	1098	0.00819672131147541
comp11354_c0_seq3_m.25521	0	840	0
comp11355_c0_seq1_m.5381	1	306	0.00326797385620915
comp11358_c0_seq1_m.5382	0	630	0
comp11359_c0_seq1_m.5383	3	1086	0.00276243093922652
comp11360_c0_seq1_m.5384	8	1929	0.00414722654224987
comp11360_c0_seq1_m.5385	1	495	0.00202020202020202
comp11360_c0_seq1_m.5386	3	318	0.00943396226415094
comp11362_c0_seq1_m.5387	1	1491	0.000670690811535882
comp11362_c0_seq1_m.5388	2	330	0.00606060606060606
comp11363_c0_seq1_m.27211	8	1779	0.00449690837549185
comp11365_c0_seq1_m.5390	22	957	0.0229885057471264
comp11366_c0_seq1_m.5391	5	630	0.00793650793650794
comp11367_c0_seq1_m.5393	7	1329	0.00526711813393529
comp11369_c0_seq1_m.19400	1	513	0.00194931773879142
comp11369_c0_seq2_m.19401	2	606	0.0033003300330033
comp11370_c0_seq1_m.5395	2	360	0.00555555555555556
comp113719_c0_seq1_m.13256	2	690	0.00289855072463768
comp11371_c0_seq1_m.5396	3	2433	0.00123304562268804
comp11373_c0_seq1_m.5401	12	642	0.0186915887850467
comp113741_c0_seq1_m.13257	2	651	0.00307219662058372
comp11374_c0_seq1_m.5402	8	384	0.0208333333333333
comp113758_c0_seq1_m.13259	0	654	0
comp11376_c0_seq1_m.28811	0	1686	0
comp11376_c0_seq1_m.28812	0	1218	0
comp11376_c0_seq2_m.28814	0	1011	0
comp11378_c0_seq1_m.5403	12	438	0.0273972602739726
comp11379_c0_seq2_m.36837	4	786	0.00508905852417303
comp11381_c0_seq1_m.5404	0	1365	0
comp11382_c0_seq1_m.5405	2	480	0.00416666666666667
comp11383_c0_seq1_m.5406	2	1608	0.00124378109452736
comp113855_c0_seq1_m.13263	2	414	0.00483091787439614
comp11385_c0_seq1_m.5407	8	1647	0.00485731633272617
comp11385_c0_seq1_m.5408	1	390	0.00256410256410256
comp11386_c0_seq1_m.15333	1	1326	0.000754147812971342
comp11386_c0_seq1_m.15334	0	492	0
comp11388_c0_seq1_m.28667	20	411	0.048661800486618
comp11388_c1_seq1_m.28666	22	552	0.0398550724637681
comp11390_c0_seq1_m.5410	2	507	0.00394477317554241
comp11390_c0_seq1_m.5411	4	456	0.0087719298245614
comp11391_c0_seq2_m.25715	2	945	0.00211640211640212
comp113937_c0_seq1_m.13270	0	594	0
comp11393_c0_seq2_m.31075	6	894	0.00671140939597315
comp11394_c0_seq2_m.17240	0	1233	0
comp113952_c0_seq1_m.13271	3	450	0.00666666666666667
comp11395_c0_seq1_m.5412	6	813	0.00738007380073801
comp11396_c0_seq1_m.19941	13	1539	0.00844704353476283
comp11396_c0_seq2_m.19942	3	621	0.00483091787439614
comp11397_c0_seq1_m.27212	10	2151	0.00464900046490005
comp11398_c0_seq1_m.34404	2	390	0.00512820512820513
comp11399_c0_seq1_m.5413	0	663	0
comp11401_c0_seq1_m.5414	0	834	0
comp11402_c0_seq1_m.5415	14	690	0.0202898550724638
comp114034_c0_seq1_m.13274	0	342	0
comp11403_c0_seq1_m.5416	6	993	0.00604229607250755
comp11404_c0_seq1_m.36857	3	3501	0.000856898029134533
comp114063_c0_seq1_m.13275	0	579	0
comp11406_c0_seq1_m.5417	0	396	0
comp11407_c0_seq1_m.5418	8	561	0.0142602495543672
comp11410_c0_seq1_m.5419	6	951	0.00630914826498423
comp11411_c0_seq3_m.26668	6	792	0.00757575757575758
comp11412_c0_seq1_m.5421	2	1884	0.00106157112526539
comp11413_c0_seq1_m.5422	0	321	0
comp11415_c0_seq1_m.5423	11	666	0.0165165165165165
comp11416_c0_seq1_m.5425	0	1080	0
comp11417_c0_seq1_m.26922	22	1686	0.0130486358244365
comp114189_c0_seq1_m.13277	0	498	0
comp11418_c0_seq1_m.5426	0	669	0
comp11419_c0_seq1_m.5427	0	936	0
comp114202_c0_seq1_m.13279	0	1038	0
comp11420_c0_seq1_m.5428	2	702	0.00284900284900285
comp11420_c0_seq1_m.5429	2	438	0.0045662100456621
comp11421_c0_seq1_m.5430	0	2205	0
comp114234_c0_seq1_m.13281	0	582	0
comp114246_c0_seq1_m.13282	7	360	0.0194444444444444
comp11424_c0_seq1_m.5432	20	1251	0.0159872102318145
comp11425_c0_seq1_m.5433	13	1344	0.00967261904761905
comp114262_c0_seq1_m.13283	3	684	0.0043859649122807
comp11427_c0_seq1_m.20369	2	639	0.00312989045383412
comp11428_c0_seq1_m.38361	17	546	0.0311355311355311
comp11428_c0_seq3_m.38362	22	462	0.0476190476190476
comp11429_c0_seq1_m.35315	8	1632	0.00490196078431373
comp11430_c0_seq1_m.22964	1	2292	0.00043630017452007
comp11430_c0_seq2_m.22965	0	1119	0
comp11432_c0_seq1_m.5436	0	546	0
comp11433_c0_seq1_m.5437	17	978	0.0173824130879346
comp114345_c0_seq1_m.13285	0	516	0
comp11434_c0_seq1_m.33427	4	1200	0.00333333333333333
comp11434_c0_seq1_m.33428	5	450	0.0111111111111111
comp11435_c0_seq1_m.35030	5	1494	0.00334672021419009
comp11435_c0_seq5_m.35034	6	642	0.00934579439252336
comp11436_c0_seq1_m.22652	0	2538	0
comp11439_c0_seq1_m.5438	79	2181	0.0362219165520404
comp11440_c0_seq1_m.5440	9	513	0.0175438596491228
comp11442_c1_seq1_m.27937	4	1383	0.00289226319595083
comp11443_c0_seq1_m.17298	1	981	0.00101936799184506
comp11443_c0_seq2_m.17300	5	981	0.00509683995922528
comp114441_c0_seq1_m.13290	0	468	0
comp114446_c0_seq1_m.13291	4	555	0.00720720720720721
comp11445_c0_seq1_m.26256	5	837	0.00597371565113501
comp11447_c0_seq1_m.5442	4	2445	0.0016359918200409
comp11447_c0_seq1_m.5443	1	816	0.00122549019607843
comp114488_c0_seq1_m.13292	2	678	0.00294985250737463
comp114489_c0_seq1_m.13293	1	540	0.00185185185185185
comp11448_c0_seq1_m.5446	6	3129	0.00191754554170662
comp11449_c0_seq1_m.5449	1	531	0.00188323917137476
comp11450_c0_seq1_m.35713	0	459	0
comp11450_c0_seq2_m.35714	1	459	0.00217864923747277
comp114516_c0_seq1_m.13294	8	441	0.018140589569161
comp11452_c0_seq1_m.5451	1	441	0.00226757369614512
comp11453_c0_seq1_m.31052	1	780	0.00128205128205128
comp114542_c0_seq1_m.13295	6	546	0.010989010989011
comp11454_c0_seq1_m.25571	17	1203	0.0141313383208645
comp11455_c0_seq1_m.5452	0	2604	0
comp11456_c0_seq1_m.38652	16	1575	0.0101587301587302
comp11457_c0_seq1_m.30308	2	378	0.00529100529100529
comp11458_c0_seq1_m.5453	0	1485	0
comp11459_c0_seq1_m.29553	3	1035	0.00289855072463768
comp1145_c0_seq1_m.301	0	1071	0
comp11460_c0_seq1_m.5455	6	795	0.00754716981132075
comp11462_c0_seq1_m.5456	0	717	0
comp11463_c0_seq1_m.25064	4	1128	0.00354609929078014
comp11464_c0_seq1_m.38211	5	648	0.00771604938271605
comp11464_c0_seq2_m.38212	0	609	0
comp11466_c0_seq1_m.22095	1	705	0.00141843971631206
comp11466_c1_seq1_m.22096	51	2331	0.0218790218790219
comp11467_c1_seq1_m.24632	0	738	0
comp11470_c0_seq1_m.27848	9	1263	0.00712589073634204
comp11472_c0_seq1_m.5457	7	3435	0.00203784570596798
comp11473_c0_seq1_m.5458	32	6192	0.00516795865633075
comp11474_c0_seq1_m.5462	6	585	0.0102564102564103
comp11475_c0_seq1_m.16334	9	618	0.0145631067961165
comp11475_c0_seq2_m.16335	2	603	0.0033167495854063
comp11477_c0_seq1_m.5463	1	651	0.00153609831029186
comp11478_c0_seq1_m.5464	4	1260	0.00317460317460317
comp11478_c0_seq1_m.5465	1	606	0.00165016501650165
comp11480_c0_seq1_m.5467	16	1632	0.00980392156862745
comp11481_c0_seq1_m.5468	16	1206	0.0132669983416252
comp114825_c0_seq1_m.13298	20	1188	0.0168350168350168
comp11483_c0_seq1_m.5470	0	810	0
comp11484_c0_seq2_m.38550	0	417	0
comp11485_c0_seq1_m.33282	8	324	0.0246913580246914
comp11486_c0_seq1_m.5471	0	378	0
comp11486_c0_seq1_m.5472	0	327	0
comp11488_c0_seq1_m.39167	3	333	0.00900900900900901
comp11488_c1_seq1_m.39168	17	1134	0.0149911816578483
comp114896_c0_seq1_m.13299	1	579	0.00172711571675302
comp114900_c0_seq1_m.13300	0	363	0
comp114901_c0_seq1_m.13301	1	327	0.00305810397553517
comp114910_c0_seq1_m.13302	2	978	0.00204498977505112
comp11491_c0_seq1_m.25524	8	1401	0.00571020699500357
comp11492_c0_seq1_m.5474	0	903	0
comp11493_c0_seq2_m.15844	5	1068	0.00468164794007491
comp11494_c0_seq3_m.33992	1	363	0.00275482093663912
comp11495_c0_seq1_m.5475	0	1068	0
comp11496_c0_seq1_m.5477	4	429	0.00932400932400932
comp11498_c0_seq1_m.37439	6	342	0.0175438596491228
comp11499_c0_seq1_m.18276	16	912	0.0175438596491228
comp11500_c0_seq1_m.20793	9	1524	0.00590551181102362
comp11501_c0_seq1_m.5478	1	4152	0.000240847784200385
comp11502_c0_seq1_m.5479	0	753	0
comp11503_c0_seq1_m.5481	3	810	0.0037037037037037
comp11504_c0_seq1_m.29421	1	1050	0.000952380952380952
comp11504_c0_seq2_m.29423	6	351	0.0170940170940171
comp11505_c0_seq1_m.5482	8	816	0.00980392156862745
comp11507_c0_seq1_m.5486	0	1809	0
comp11508_c0_seq2_m.36043	5	417	0.0119904076738609
comp11509_c0_seq1_m.5488	1	531	0.00188323917137476
comp11510_c0_seq1_m.35732	0	1062	0
comp11511_c0_seq1_m.5489	13	4890	0.00265848670756646
comp11512_c0_seq1_m.5492	0	978	0
comp11512_c0_seq1_m.5493	0	309	0
comp11513_c0_seq1_m.36313	0	333	0
comp11514_c0_seq1_m.5494	3	1668	0.00179856115107914
comp115151_c0_seq1_m.13305	0	498	0
comp11516_c0_seq1_m.20736	0	1257	0
comp11516_c0_seq1_m.20737	0	726	0
comp11517_c0_seq1_m.5497	2	606	0.0033003300330033
comp11518_c0_seq3_m.15551	2	1173	0.00170502983802217
comp11518_c0_seq4_m.15552	1	1107	0.000903342366757001
comp11520_c0_seq1_m.5498	5	441	0.0113378684807256
comp11520_c0_seq1_m.5499	4	348	0.0114942528735632
comp11521_c0_seq1_m.5500	0	411	0
comp11522_c0_seq1_m.5501	3	711	0.00421940928270042
comp11523_c0_seq1_m.5502	4	474	0.00843881856540084
comp11524_c0_seq1_m.5503	21	705	0.0297872340425532
comp11525_c0_seq1_m.5504	11	591	0.0186125211505922
comp11527_c0_seq1_m.34036	0	429	0
comp11527_c0_seq2_m.34037	13	636	0.020440251572327
comp11528_c0_seq1_m.5505	0	2517	0
comp115298_c0_seq1_m.13306	1	378	0.00264550264550265
comp11529_c0_seq1_m.16396	3	561	0.0053475935828877
comp11529_c0_seq1_m.16397	2	525	0.00380952380952381
comp11529_c0_seq2_m.16398	1	372	0.00268817204301075
comp11530_c0_seq1_m.5506	5	972	0.0051440329218107
comp11531_c0_seq1_m.5507	19	1368	0.0138888888888889
comp11533_c0_seq1_m.35525	10	1914	0.00522466039707419
comp11534_c0_seq1_m.5508	0	483	0
comp11534_c0_seq1_m.5509	0	423	0
comp11536_c0_seq1_m.5510	2	618	0.00323624595469256
comp11539_c0_seq1_m.5511	0	951	0
comp11541_c0_seq1_m.5512	0	1716	0
comp11541_c0_seq1_m.5513	0	423	0
comp11542_c0_seq1_m.5516	0	375	0
comp115435_c0_seq1_m.13310	21	903	0.0232558139534884
comp11543_c0_seq1_m.25996	1	501	0.00199600798403194
comp11543_c1_seq1_m.25997	8	1020	0.00784313725490196
comp11544_c0_seq1_m.5517	0	783	0
comp115450_c0_seq1_m.13312	0	324	0
comp11545_c0_seq1_m.23483	12	480	0.025
comp11546_c0_seq1_m.5518	2	855	0.00233918128654971
comp11549_c0_seq1_m.5519	3	315	0.00952380952380952
comp11551_c0_seq1_m.5521	2	582	0.00343642611683849
comp11552_c0_seq1_m.33787	1	327	0.00305810397553517
comp11552_c1_seq1_m.33788	4	450	0.00888888888888889
comp11552_c1_seq2_m.33789	0	450	0
comp11553_c0_seq1_m.15900	2	1545	0.00129449838187702
comp11553_c0_seq1_m.15901	2	327	0.00611620795107034
comp11554_c0_seq1_m.35973	10	426	0.0234741784037559
comp11555_c0_seq1_m.5522	9	786	0.0114503816793893
comp11556_c0_seq1_m.5523	1	1086	0.000920810313075506
comp11557_c0_seq1_m.5526	0	516	0
comp11558_c0_seq1_m.29337	1	1143	0.000874890638670166
comp11559_c0_seq1_m.16808	6	324	0.0185185185185185
comp11560_c0_seq1_m.26249	0	1659	0
comp11561_c0_seq1_m.5527	1	567	0.0017636684303351
comp11562_c0_seq1_m.5529	0	333	0
comp11563_c0_seq1_m.21894	6	1134	0.00529100529100529
comp11564_c0_seq1_m.5530	3	588	0.00510204081632653
comp115655_c0_seq1_m.13313	3	618	0.00485436893203883
comp11565_c0_seq1_m.5531	2	390	0.00512820512820513
comp11566_c0_seq2_m.23358	14	1989	0.00703871292106586
comp11567_c0_seq2_m.38283	1	1068	0.000936329588014981
comp11567_c1_seq1_m.38280	4	1317	0.00303720577069096
comp11568_c0_seq1_m.5532	17	507	0.0335305719921105
comp11569_c0_seq1_m.5533	0	357	0
comp115709_c0_seq1_m.13315	3	432	0.00694444444444444
comp11570_c0_seq1_m.5534	8	1755	0.00455840455840456
comp11571_c0_seq1_m.36395	0	2586	0
comp11572_c0_seq1_m.5535	3	528	0.00568181818181818
comp11573_c0_seq1_m.32081	7	756	0.00925925925925926
comp11574_c0_seq1_m.22941	4	501	0.00798403193612774
comp11576_c0_seq1_m.5536	3	1824	0.00164473684210526
comp11577_c0_seq1_m.5538	4	1026	0.00389863547758285
comp11578_c0_seq3_m.17210	2	1215	0.00164609053497942
comp115798_c0_seq1_m.13317	1	567	0.0017636684303351
comp11580_c0_seq1_m.5539	0	555	0
comp11581_c0_seq1_m.5540	37	1788	0.0206935123042506
comp115833_c0_seq1_m.13320	1	1236	0.000809061488673139
comp11583_c0_seq1_m.5541	18	855	0.0210526315789474
comp11584_c0_seq1_m.5542	3	459	0.0065359477124183
comp11586_c0_seq1_m.18586	5	3210	0.00155763239875389
comp11587_c0_seq1_m.5545	22	555	0.0396396396396396
comp11588_c0_seq1_m.32407	1	345	0.00289855072463768
comp11589_c0_seq1_m.5546	0	1365	0
comp11591_c0_seq1_m.5547	0	1020	0
comp11592_c0_seq1_m.5549	10	1440	0.00694444444444444
comp115932_c0_seq1_m.13321	0	702	0
comp11593_c0_seq1_m.5550	0	2037	0
comp115940_c0_seq1_m.13322	6	513	0.0116959064327485
comp11594_c0_seq1_m.37772	0	1407	0
comp11595_c0_seq1_m.22840	8	1209	0.00661703887510339
comp11596_c0_seq1_m.5552	1	471	0.00212314225053079
comp11596_c0_seq1_m.5553	5	354	0.0141242937853107
comp11597_c0_seq1_m.25443	2	864	0.00231481481481481
comp11598_c0_seq1_m.23794	7	2088	0.00335249042145594
comp11599_c0_seq1_m.26388	13	1146	0.0113438045375218
comp1159_c0_seq1_m.302	0	546	0
comp115_c0_seq2_m.19052	22	1017	0.0216322517207473
comp11600_c0_seq1_m.5554	3	699	0.00429184549356223
comp11601_c0_seq1_m.5555	3	1488	0.00201612903225806
comp116032_c0_seq1_m.13323	1	588	0.00170068027210884
comp11603_c0_seq1_m.5557	0	402	0
comp11604_c0_seq2_m.30728	0	453	0
comp11605_c0_seq1_m.5558	0	1551	0
comp11606_c0_seq1_m.26189	1	666	0.0015015015015015
comp11607_c0_seq1_m.5559	5	1395	0.003584229390681
comp11608_c0_seq1_m.5560	3	1308	0.00229357798165138
comp11608_c0_seq1_m.5561	10	1293	0.00773395204949729
comp11609_c0_seq2_m.18622	2	1233	0.0016220600162206
comp116102_c0_seq1_m.13325	6	516	0.0116279069767442
comp11610_c0_seq1_m.5562	0	3072	0
comp11612_c0_seq1_m.35809	1	1038	0.000963391136801541
comp11613_c0_seq1_m.5564	2	567	0.00352733686067019
comp11614_c0_seq1_m.5565	23	1470	0.0156462585034014
comp11616_c0_seq1_m.5566	22	1161	0.0189491817398794
comp11618_c0_seq1_m.5567	2	813	0.002460024600246
comp11618_c0_seq1_m.5568	1	312	0.00320512820512821
comp11619_c0_seq1_m.5569	6	1002	0.00598802395209581
comp11620_c0_seq1_m.5570	1	567	0.0017636684303351
comp11622_c0_seq1_m.5572	9	918	0.00980392156862745
comp116234_c0_seq1_m.13327	0	426	0
comp11623_c0_seq1_m.23945	1	3702	0.000270124257158293
comp11624_c0_seq1_m.5574	3	507	0.00591715976331361
comp11626_c0_seq1_m.5576	3	693	0.00432900432900433
comp11627_c0_seq1_m.5577	0	873	0
comp11628_c0_seq1_m.32610	8	3768	0.00212314225053079
comp11628_c1_seq1_m.32609	5	978	0.00511247443762781
comp11630_c0_seq1_m.5580	0	459	0
comp11631_c0_seq1_m.5581	1	447	0.00223713646532438
comp11631_c0_seq1_m.5582	1	351	0.00284900284900285
comp116325_c0_seq1_m.13328	1	726	0.00137741046831956
comp11632_c0_seq1_m.5583	5	1152	0.00434027777777778
comp11633_c0_seq1_m.5584	5	867	0.00576701268742791
comp11635_c0_seq1_m.5585	7	1866	0.0037513397642015
comp11636_c0_seq1_m.5586	2	309	0.00647249190938511
comp11636_c0_seq1_m.5587	2	309	0.00647249190938511
